,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
19,159316.cif,Li1+:3.800 Na1+:0.200 O2-:14.000 Ti4+:6.000,Li2,5.0,1.0,2,1,0.05,"[158.907, 137.392, 110.267, 110.267, 98.436, 98.436, 89.009, 89.009, 83.737, 75.179]","{(1.13, 6.19, 5.06), (-1.13, 6.19, -5.06), (3.16, 4.88, -7.56), (0.86, 0.0, 8.78), (7.19, 0.0, -6.33), (-4.29, -5.67, 2.5), (4.29, -5.67, -2.5), (9.45, 0.0, 3.78), (0.0, -6.98, 0.0), (-3.16, 4.88, 7.56)}"
20,159316.cif,Li1+:3.800 Na1+:0.200 O2-:14.000 Ti4+:6.000,Na2,5.0,1.0,3,1,0.104,"[158.907, 137.392, 110.267, 110.267, 98.436, 98.436, 89.009, 89.009, 83.737, 75.179]","{(1.13, 6.19, 5.06), (-1.13, 6.19, -5.06), (3.16, 4.88, -7.56), (0.86, 0.0, 8.78), (7.19, 0.0, -6.33), (-4.29, -5.67, 2.5), (4.29, -5.67, -2.5), (9.45, 0.0, 3.78), (0.0, -6.98, 0.0), (-3.16, 4.88, 7.56)}"
21,159716.cif,Li1+:32.000 Mn2+:3.840 O2-:128.000 P5+:32.000 Zn2+:28.160,Li3,5.0,1.0,2,1,0.04,"[127.301, 118.568, 116.372, 115.068, 113.603, 108.005, 105.658, 78.598, 75.007, 55.48]","{(1.79, -12.81, -2.37), (-12.43, -2.32, -4.31), (-4.97, -7.74, 7.82), (-3.77, -6.96, 7.45), (5.49, -2.31, 9.71), (-5.67, -7.39, -14.51), (2.57, -5.32, -10.61), (-3.95, -5.16, 6.18), (11.23, -9.96, 1.15), (-2.75, -4.37, 5.81)}"
22,159716.cif,Li1+:32.000 Mn2+:3.840 O2-:128.000 P5+:32.000 Zn2+:28.160,Li7,5.0,1.0,2,1,0.079,"[143.911, 143.814, 129.08, 120.464, 95.503, 78.755, 76.55, 69.354, 53.416, 51.508]","{(1.73, -2.36, -3.87), (2.79, -1.24, 3.62), (3.17, -3.56, 1.05), (-4.1, 4.51, -1.49), (4.69, -4.88, 1.45), (-5.62, 5.83, -1.89), (-1.01, -5.6, 6.11), (-0.3, 8.86, -3.98), (-3.59, -5.39, -1.78), (-3.97, -3.07, 0.79)}"
23,159716.cif,Li1+:32.000 Mn2+:3.840 O2-:128.000 P5+:32.000 Zn2+:28.160,Mn2,5.0,2.0,4,7,0.161,"[139.394, 126.256, 117.898, 106.649, 104.324, 102.427, 100.352, 93.457, 74.044, 51.815]","{(8.79, -2.89, -1.09), (5.44, 4.37, 0.85), (-2.64, -6.53, 7.52), (0.96, -6.84, -1.3), (-0.98, 2.03, 8.09), (9.05, 4.06, -7.97), (-0.72, 8.98, 1.21), (-0.54, 6.25, 1.19), (5.0, 0.14, 7.75), (1.15, -9.56, -1.32)}"
24,159716.cif,Li1+:32.000 Mn2+:3.840 O2-:128.000 P5+:32.000 Zn2+:28.160,Mn3,5.0,2.0,4,7,0.536,"[143.254, 118.888, 118.379, 111.882, 110.383, 109.22, 102.286, 95.779, 81.048, 40.756]","{(2.5, 0.05, 4.9), (-0.87, 3.92, 3.92), (-1.1, 2.58, 1.57), (3.48, -6.59, 11.27), (-3.06, 5.85, 6.84), (-2.84, 7.19, 9.19), (-0.12, -4.06, 7.94), (3.71, 10.14, 0.54), (10.02, -3.63, 2.62), (7.08, 6.27, 1.52)}"
26,161335.cif,Li1+:12.000 O2-:48.000 P5+:12.000 V3+:8.000,Li1,5.0,1.0,2,1,0.102,"[161.805, 138.99, 123.945, 117.853, 105.218, 101.707, 93.618, 93.423, 71.603, 56.612]","{(-4.81, -6.76, 2.16), (7.99, -0.02, -1.63), (-3.89, -7.98, -2.18), (7.06, 1.21, 2.71), (3.15, 1.4, -6.1), (4.53, -7.08, 0.31), (3.64, 1.27, 3.59), (-6.19, 1.72, -4.25), (-9.62, 1.78, -3.37), (8.88, -8.36, -4.91)}"
27,161335.cif,Li1+:12.000 O2-:48.000 P5+:12.000 V3+:8.000,Li2,5.0,1.0,2,1,0.068,"[172.437, 144.756, 120.964, 119.802, 118.229, 99.491, 84.399, 73.238, 66.503, 64.234]","{(-5.56, -6.65, -0.29), (-4.96, -2.11, 6.63), (2.67, 3.75, 6.05), (0.42, 2.53, 8.08), (-3.03, -8.22, 2.86), (-0.54, 4.57, 7.61), (-8.45, 1.51, 3.01), (-0.83, 7.37, 2.44), (1.7, 5.79, 5.58), (2.35, -3.58, 4.31)}"
28,161495.cif,Al3+:4.000 H1+:8.000 Li1+:4.000 O2-:20.000 Si4+:4.000,H2,5.0,1.0,1,1,0.034,"[155.45, 139.087, 112.818, 103.021, 92.717, 90.229, 86.813, 81.135, 70.062, 69.335]","{(-4.8, -3.4, 7.45), (-11.05, 8.61, 0.0), (-2.25, 5.75, -4.18), (-5.6, -9.76, -4.5), (7.6, 3.36, 0.0), (-1.64, -15.28, 0.0), (-7.89, -3.27, -7.45), (-1.21, 6.22, 4.18), (1.08, -0.27, 7.13), (3.63, 8.88, -4.5)}"
31,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,Li3,5.0,1.0,2,1,0.04,"[161.568, 129.621, 126.563, 103.05, 99.381, 94.606, 93.957, 91.765, 89.467, 67.858]","{(-2.87, 4.4, 7.34), (2.19, 2.22, -7.16), (6.11, -6.28, -1.59), (-4.67, -7.31, 3.06), (-2.93, 4.04, -5.3), (-10.81, -3.02, -4.55), (-0.03, -1.99, -9.2), (2.8, 7.24, 4.54), (0.45, -9.12, 1.21), (-5.09, 0.18, 5.29)}"
32,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,Li5,5.0,1.0,2,1,0.03,"[167.987, 133.836, 125.775, 98.975, 97.094, 96.771, 92.654, 92.023, 88.825, 70.913]","{(-2.97, 4.17, 7.21), (6.04, -6.41, -1.96), (10.29, 2.54, 4.27), (0.51, -1.91, -8.63), (-4.85, 0.51, 5.38), (2.39, 1.75, -6.8), (0.52, -9.48, 0.46), (2.9, -4.19, 4.86), (2.55, 7.24, 4.79), (4.76, 7.04, -2.4)}"
33,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,Li6,5.0,1.0,2,1,0.071,"[137.138, 126.712, 121.816, 121.433, 106.625, 100.329, 95.71, 85.043, 74.811, 66.765]","{(0.3, 2.59, 9.91), (5.29, -4.43, 5.46), (1.06, -11.76, 0.76), (-2.76, -3.46, 5.92), (-7.83, 0.52, 0.67), (-3.72, 5.89, 5.53), (-9.01, -0.76, -0.03), (-4.02, -7.78, -4.48), (-6.78, -0.16, 1.54), (-7.96, -1.44, 0.83)}"
41,165402.cif,Cl1-:54.000 H0+:3.000 Li1+:18.000 Zr2+:18.000,Zr1,5.0,2.0,5,4,0.036,"[167.187, 166.755, 89.628, 89.484, 89.095, 88.843, 85.572, 84.595, 82.172, 81.628]","{(-10.07, -1.01, 6.9), (6.37, -8.42, -3.1), (6.33, -8.44, 7.48), (6.42, -8.46, 7.53), (6.36, -8.48, 7.44), (-10.02, -0.99, -3.67), (6.45, -8.5, 7.49), (-3.62, -9.5, 3.76), (0.01, -0.01, 10.63), (-3.61, -9.43, -6.78)}"
42,16568.cif,B3+:4.000 Li1+:4.000 O2-:8.000,Li1,5.0,1.0,2,1,0.054,"[158.357, 128.932, 112.501, 109.676, 105.218, 97.851, 96.286, 93.388, 88.138, 62.238]","{(-6.51, 4.95, -3.41), (-9.3, 0.0, 3.01), (-1.24, 1.8, -8.29), (1.46, 0.0, -6.17), (-6.18, -4.95, -2.54), (-4.7, -2.8, 4.65), (-0.69, -1.8, -6.84), (1.12, -9.56, 1.21), (6.06, -2.8, -4.54), (-3.4, 0.0, -8.96)}"
43,166164.cif,Li1+:2.000 O2-:14.000 P5+:4.000 Ti3+:2.000,Li1,5.0,1.0,2,1,0.056,"[170.164, 128.068, 118.457, 112.538, 105.867, 104.999, 90.281, 82.01, 81.993, 62.07]","{(-10.86, 3.1, -1.57), (-8.61, -3.85, 0.19), (-6.2, -8.43, 1.42), (-3.32, -4.12, -3.91), (1.15, 1.68, -7.7), (4.1, 5.62, -4.21), (5.82, -9.85, -4.7), (-5.58, 2.84, -5.68), (-2.64, 6.78, -2.19), (6.51, 1.05, -2.97)}"
44,166451.cif,H1+:2.000 Li1+:4.000 O2-:16.000 P5+:4.000 Sc3+:2.000,Li1,5.0,1.0,2,1,0.046,"[148.255, 126.791, 117.059, 112.557, 109.615, 97.158, 91.994, 85.314, 85.009, 67.027]","{(-2.31, 6.66, 0.86), (-4.6, -2.07, 9.65), (4.22, 7.24, -3.53), (-6.6, -0.28, 3.88), (3.14, -2.6, 8.25), (7.42, 4.33, 5.23), (5.2, -5.59, 0.98), (-3.51, 7.77, -2.13), (4.0, -4.48, -2.01), (2.0, -2.68, -7.77)}"
45,167055.cif,D1+:4.000 Li1+:4.000 O2-:28.000 Sr2+:4.000 Ta5+:8.000,Li1,5.0,1.0,2,1,0.038,"[147.554, 136.079, 111.956, 111.956, 98.882, 98.882, 93.13, 93.13, 73.776, 73.776]","{(4.41, 3.88, -8.17), (-6.29, -5.52, -0.0), (3.81, -3.88, -8.17), (8.07, 1.94, 4.09), (2.64, 7.46, -4.09), (4.41, 3.88, 8.17), (9.24, -9.4, 0.0), (3.81, -3.88, 8.17), (-8.07, -1.94, 4.09), (-2.64, -7.46, -4.09)}"
46,167202.cif,Co2+:2.000 F1-:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,5.0,1.0,2,1,0.058,"[160.476, 148.049, 138.013, 107.092, 94.318, 93.331, 92.206, 89.794, 72.524, 70.931]","{(-7.87, 1.37, 1.2), (-2.04, 10.18, -3.48), (3.82, 4.72, -5.82), (-2.67, 6.31, -4.52), (0.66, 9.12, -3.67), (2.96, 1.74, -9.45), (0.03, 5.25, -4.7), (-0.83, 2.27, -8.34), (-9.37, -5.48, -3.47), (-2.87, -7.07, -4.78)}"
49,167528.cif,H1+:16.002 I1-:4.000 Li1+:12.000 N3-:8.000,Li2,5.0,1.0,2,1,0.061,"[178.188, 119.006, 116.027, 116.015, 101.9, 99.16, 99.16, 79.968, 79.962, 79.898]","{(9.15, 5.28, -4.12), (8.86, -15.34, 0.0), (-10.9, 0.96, 7.73), (-13.57, 7.17, 0.0), (4.81, -9.92, 7.73), (7.78, 4.49, 11.34), (4.62, 9.92, -7.73), (0.57, 15.34, 0.0), (6.19, -9.13, -7.73), (-6.37, -3.68, 11.34)}"
50,167608.cif,Fe3+:2.000 H1+:2.000 Li1+:2.000 O2-:10.000 P5+:2.000,Li1,5.0,1.0,2,1,0.035,"[175.137, 137.358, 116.398, 108.572, 102.38, 95.06, 91.822, 83.99, 80.433, 71.071]","{(3.33, -0.24, -7.02), (2.17, -9.34, -0.6), (-6.74, 2.19, -5.0), (-4.8, 4.43, 1.03), (-3.39, -5.38, -4.32), (2.95, -7.12, -3.24), (-7.9, -6.91, 1.42), (-0.29, 5.95, -4.72), (-3.01, 1.5, -8.1), (-4.02, 6.64, -1.62)}"
51,16799.cif,I1-:8.000 Li1+:56.000 N3-:16.000,Li2,5.0,1.0,2,1,0.03,"[162.631, 125.959, 125.959, 89.284, 81.315, 81.315, 44.643, 44.643, 36.678, 36.678]","{(6.72, -6.72, 0.0), (-13.43, 13.43, 0.0), (-3.36, 3.36, 0.0), (3.36, -3.36, 0.0), (-0.0, 0.0, 0.0), (-6.72, 6.72, 0.0)}"
56,169799.cif,Li1+:8.800 O2-:28.000 P5+:8.000 Zn2+:3.200,Li3,5.0,1.0,2,1,0.046,"[177.569, 121.232, 119.571, 118.921, 98.592, 96.684, 93.733, 84.526, 83.794, 82.64]","{(4.85, -0.84, -6.75), (2.33, -1.59, 7.29), (-3.28, -7.29, -5.77), (5.38, -4.54, 4.83), (5.37, -4.93, -0.66), (-6.33, -3.94, 2.18), (-8.54, 0.77, 2.06), (-8.55, 0.39, -3.42), (-0.41, 6.84, -4.4), (2.64, 3.88, -6.86)}"
57,169799.cif,Li1+:8.800 O2-:28.000 P5+:8.000 Zn2+:3.200,Zn2,5.0,2.0,4,2,0.119,"[177.569, 121.232, 119.571, 118.921, 98.592, 96.684, 93.733, 84.526, 83.794, 82.64]","{(4.85, -0.84, -6.75), (2.33, -1.59, 7.29), (-3.28, -7.29, -5.77), (5.38, -4.54, 4.83), (5.37, -4.93, -0.66), (-6.33, -3.94, 2.18), (-8.54, 0.77, 2.06), (-8.55, 0.39, -3.42), (-0.41, 6.84, -4.4), (2.64, 3.88, -6.86)}"
58,170039.cif,As5+:2.000 Li1+:2.000 Mo6+:4.000 O2-:18.000,Li1,5.0,1.0,2,1,0.013,"[147.768, 147.768, 106.117, 106.117, 106.117, 106.117, 85.986, 85.98, 85.181, 85.176]","{(0.0, 0.0, 7.69), (0.0, -7.03, 3.85), (-6.97, 0.0, -3.85), (6.97, -7.03, -0.0), (-6.97, -7.03, -0.0), (0.0, 0.0, -7.69), (0.0, 7.03, 3.85), (6.97, 0.0, -3.85)}"
59,170783.cif,H1+:80.000 Li1+:1.560 Na1+:10.440 O2-:96.000 V5+:20.000,Li1,5.0,1.0,2,1,0.075,"[174.443, 134.323, 128.741, 96.01, 93.652, 93.233, 92.247, 91.312, 89.719, 81.495]","{(-2.74, 0.29, -8.96), (-2.75, 8.23, -4.69), (-2.08, 7.56, 7.54), (7.88, -4.98, -5.75), (5.04, -8.54, -2.89), (9.02, 4.36, 3.1), (6.19, -7.15, 1.7), (-4.91, -3.94, 6.14), (-4.91, 4.01, 10.4), (-1.6, 9.62, -0.11)}"
60,170783.cif,H1+:80.000 Li1+:1.560 Na1+:10.440 O2-:96.000 V5+:20.000,Na4,5.0,1.0,3,1,0.128,"[169.997, 134.491, 122.459, 102.345, 97.944, 94.939, 94.405, 91.14, 83.385, 77.919]","{(-6.45, -1.95, -8.01), (2.74, -0.29, 8.96), (6.08, 10.45, 2.4), (-6.69, 2.76, -6.29), (4.68, 5.82, -4.72), (-7.88, 4.98, 5.75), (3.5, 8.04, 7.32), (2.99, -4.99, 7.24), (-9.02, -4.36, -3.1), (1.6, -9.62, 0.11)}"
61,171748.cif,F1-:8.000 Li1+:20.000 O2-:32.000 P5+:8.000 V3+:4.000,Li3,5.0,1.0,2,1,0.028,"[148.782, 133.126, 117.052, 110.182, 109.798, 98.563, 89.971, 87.673, 81.385, 77.702]","{(1.24, -7.12, 3.23), (-0.4, 5.57, 9.49), (5.08, -0.61, 5.97), (-0.06, -6.54, 4.3), (-9.8, -0.42, -0.06), (-1.27, -6.57, 2.92), (-5.96, 6.1, 2.69), (0.03, -7.16, 1.85), (-5.62, -6.01, -2.51), (-5.44, -0.98, 5.37)}"
62,171748.cif,F1-:8.000 Li1+:20.000 O2-:32.000 P5+:8.000 V3+:4.000,Li5,5.0,1.0,2,1,0.047,"[171.89, 134.235, 115.766, 109.081, 108.717, 99.439, 88.344, 77.367, 75.836, 72.458]","{(-1.77, -8.22, -2.8), (8.75, -3.8, 2.73), (-2.52, 5.89, -4.39), (-5.3, 1.88, -6.55), (7.1, 5.18, -4.0), (-3.43, 0.76, -9.53), (5.28, 1.38, 5.71), (3.42, 2.5, 8.68), (-4.34, 2.08, 5.32), (5.98, -7.81, 0.57)}"
63,172040.cif,Ba2+:4.000 Li1+:4.000 O2-:28.000 Pr3+:8.000 Ru5+:4.000,Li2,5.0,1.0,2,1,0.027,"[173.073, 172.748, 91.41, 89.84, 89.055, 88.854, 87.117, 86.956, 86.02, 86.003]","{(5.12, 0.19, 4.41), (-0.74, 0.1, 7.61), (-0.7, 0.1, 7.53), (0.34, -5.55, -3.77), (-5.46, 5.43, -0.59), (-5.82, -0.05, 3.14), (0.74, -0.07, -7.58), (0.7, -0.07, -7.5), (0.4, 5.52, -3.78), (-5.48, -5.64, -0.65)}"
64,172040.cif,Ba2+:4.000 Li1+:4.000 O2-:28.000 Pr3+:8.000 Ru5+:4.000,Ru2,5.0,5.0,5,8,0.121,"[173.073, 172.748, 91.41, 89.84, 89.055, 88.854, 87.117, 86.956, 86.02, 86.003]","{(5.12, 0.19, 4.41), (-0.74, 0.1, 7.61), (-0.7, 0.1, 7.53), (0.34, -5.55, -3.77), (-5.46, 5.43, -0.59), (-5.82, -0.05, 3.14), (0.74, -0.07, -7.58), (0.7, -0.07, -7.5), (0.4, 5.52, -3.78), (-5.48, -5.64, -0.65)}"
65,172041.cif,Ba2+:4.000 La3+:8.000 Li1+:3.996 O2-:28.000 Ru5+:4.004,Li2,5.0,1.0,2,1,0.034,"[173.617, 170.68, 91.18, 91.146, 88.447, 88.418, 88.292, 85.825, 85.498, 85.187]","{(5.4, 0.08, 4.28), (-0.32, -0.16, 7.66), (-0.31, 0.17, 7.59), (-0.17, 5.71, 3.84), (0.25, 5.66, -3.75), (5.94, 0.1, -3.3), (5.79, -5.76, 0.53), (0.65, 0.16, -7.59), (0.64, -0.17, -7.51), (5.55, 5.61, 0.53)}"
66,172041.cif,Ba2+:4.000 La3+:8.000 Li1+:3.996 O2-:28.000 Ru5+:4.004,Ru1,5.0,5.0,5,8,0.272,"[148.157, 144.716, 111.79, 110.255, 103.268, 99.677, 89.92, 87.667, 83.471, 80.311]","{(6.45, -0.12, -4.28), (-0.66, -0.16, -8.06), (0.33, -0.18, 8.06), (0.66, -0.18, 8.13), (-0.32, -0.16, -7.98), (0.26, -6.83, 4.14), (6.61, -6.7, -0.22), (-0.17, -6.74, -3.92), (7.01, -0.06, 3.77), (-6.86, -6.86, 0.37)}"
67,172041.cif,Ba2+:4.000 La3+:8.000 Li1+:3.996 O2-:28.000 Ru5+:4.004,Ru2,5.0,5.0,5,8,0.146,"[173.617, 170.68, 91.18, 91.146, 88.447, 88.418, 88.292, 85.825, 85.498, 85.187]","{(5.4, 0.08, 4.28), (-0.32, -0.16, 7.66), (-0.31, 0.17, 7.59), (-0.17, 5.71, 3.84), (0.25, 5.66, -3.75), (5.94, 0.1, -3.3), (5.79, -5.76, 0.53), (0.65, 0.16, -7.59), (0.64, -0.17, -7.51), (5.55, 5.61, 0.53)}"
69,1726.cif,F1-:28.000 Li1+:12.000 Th4+:4.000,Li2,5.0,1.0,2,1,0.074,"[164.688, 121.715, 121.715, 116.571, 105.688, 105.688, 82.513, 82.513, 82.345, 82.345]","{(-5.2, 5.2, -4.37), (-1.73, -6.93, 0.83), (-6.93, -1.73, -3.83), (5.2, -5.2, -4.37), (9.39, -1.01, 1.45), (1.73, 6.93, 3.83), (-1.01, 9.39, 1.45), (0.0, 0.0, -9.03), (-4.46, -4.46, -1.54), (6.93, 1.73, -0.83)}"
70,172987.cif,As5+:12.000 H1+:8.000 Li1+:4.000 O2-:36.000,Li1,5.0,1.0,2,1,0.058,"[175.344, 132.602, 113.453, 111.445, 108.15, 95.342, 90.848, 87.329, 84.508, 74.139]","{(-0.8, 1.73, 8.48), (-9.81, 2.77, 0.24), (-1.43, -7.72, 5.31), (-2.35, -3.76, -6.41), (-4.47, -1.85, 6.56), (-0.21, -7.83, -5.28), (-4.64, -7.17, 0.1), (-2.94, 5.81, 7.36), (3.0, -8.37, -0.08), (2.23, -4.14, 7.22)}"
71,173799.cif,Li1+:3.000 O2-:35.000 U6+:7.000 V5+:5.000,Li1,5.0,1.0,2,1,0.078,"[168.493, 145.894, 145.894, 94.761, 94.761, 94.761, 94.761, 84.244, 84.244, 68.204]","{(6.43, 0.0, 5.37), (0.0, -8.65, 5.37), (-3.09, 8.48, -2.68), (-3.09, -8.48, 2.68), (-0.0, -8.65, -5.37), (6.43, 0.0, -5.37), (3.09, 8.48, 2.68), (0.0, 8.32, 0.0), (3.09, -8.48, -2.68), (12.61, 0.0, -0.0)}"
72,173799.cif,Li1+:3.000 O2-:35.000 U6+:7.000 V5+:5.000,Li2,5.0,1.0,2,1,0.085,"[169.866, 147.267, 147.267, 95.072, 95.072, 85.733, 85.733, 85.733, 85.733, 65.474]","{(0.0, -5.26, -5.01), (0.0, -5.26, 5.01), (0.0, -11.5, 0.0), (8.52, -0.0, 0.0), (-7.85, 3.12, 2.5), (7.85, -3.12, 2.5), (7.85, 3.12, -2.5), (-7.18, 0.0, -5.01), (-7.18, 0.0, 5.01), (-7.85, -3.12, -2.5)}"
73,173882.cif,Li1+:4.000 O2-:80.000 P5+:12.000 U6+:16.000,Li1,5.0,1.0,2,1,0.07,"[154.529, 145.853, 144.945, 103.692, 100.836, 98.36, 96.638, 78.165, 77.731, 69.139]","{(-8.42, 3.6, 2.1), (5.73, -5.74, -4.82), (5.76, -5.71, 4.28), (-4.37, 7.62, -2.46), (7.66, -4.33, 2.45), (7.8, 7.72, 0.0), (3.75, 3.71, 4.56), (-6.27, 6.24, -0.63), (3.58, -8.37, -2.09), (3.72, 3.68, -4.54)}"
74,173883.cif,Li1+:6.000 O2-:70.000 P5+:10.000 U6+:14.000,Li1,5.0,1.0,2,1,0.092,"[169.609, 137.51, 128.587, 103.268, 103.262, 82.033, 82.027, 79.91, 79.91, 61.79]","{(5.14, -5.13, -4.02), (-3.9, 6.88, 2.5), (6.88, -3.9, -2.5), (5.43, -5.43, 4.37), (-5.64, 5.64, 0.97), (-3.01, 8.06, -1.7), (7.75, 7.75, 0.0), (-3.58, -3.88, 4.19), (8.06, -3.01, 1.7), (-3.88, -3.58, -4.19)}"
75,173883.cif,Li1+:6.000 O2-:70.000 P5+:10.000 U6+:14.000,Li2,5.0,1.0,2,1,0.058,"[158.576, 144.145, 144.145, 98.667, 98.667, 98.662, 98.662, 79.286, 79.286, 71.712]","{(5.52, -5.52, -4.65), (5.52, -5.52, 4.65), (-7.6, 3.81, 2.33), (7.6, -3.81, 2.33), (-5.89, 5.89, 0.0), (-3.81, 7.6, -2.32), (3.81, -7.6, -2.33), (-7.33, -7.33, -0.0), (-3.54, -3.54, 4.65), (-3.54, -3.54, -4.65)}"
76,174128.cif,Li1+:12.000 O2-:138.000 P5+:24.000 U6+:24.000,Li3,5.0,1.0,2,1,0.053,"[144.786, 121.044, 121.044, 116.981, 102.328, 102.328, 95.779, 95.779, 75.262, 69.519]","{(-2.24, -9.0, 4.86), (3.96, 7.75, 2.9), (1.72, 8.17, 7.76), (12.37, 0.0, -2.7), (-1.72, 8.17, -7.76), (0.0, -8.58, 0.0), (4.44, 0.0, -8.49), (-3.96, 7.75, -2.9), (2.24, -9.0, -4.86), (7.88, -0.0, 7.02)}"
