,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
3,100402.cif,Li1+:8.000 O2-:12.000 Si4+:4.000,Li1,5.0,1.0,2,1,0.07,"[162.999, 119.643, 112.352, 110.414, 106.726, 106.32, 99.05, 81.495, 81.147, 63.973]","{(9.62, -0.0, 0.0), (-6.29, 4.63, -4.1), (0.79, 8.39, 2.96), (6.29, -4.63, -4.1), (0.82, -0.6, -9.86), (1.18, 7.19, -2.96), (7.9, 3.16, -2.8), (6.65, 3.16, 2.8), (4.92, 6.32, 0.0), (-2.95, 9.26, 0.0)}"
6,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,Li1,5.0,1.0,2,1,0.039,"[151.654, 126.662, 123.759, 107.272, 106.153, 101.245, 90.309, 89.593, 89.118, 68.149]","{(-4.2, 3.11, -4.64), (6.51, -3.51, 3.31), (-5.4, 1.27, -5.09), (-0.77, 7.27, -3.0), (7.28, -1.23, -4.86), (4.56, 6.54, -6.65), (7.71, -1.67, 3.77), (4.98, 6.1, 1.98), (1.13, 2.38, -8.28), (2.66, -7.23, -6.95)}"
9,151426.cif,La3+:8.000 Li1+:4.000 O2-:32.000 Ru5+:4.000 Sr2+:8.000,Ru2,5.0,5.0,5,8,0.002,"[162.804, 162.804, 98.598, 98.598, 98.598, 98.598, 89.691, 89.691, 87.748, 87.742]","{(0.0, -6.26, 3.84), (0.0, -0.0, 7.67), (0.0, 6.26, 3.84), (-6.37, -0.0, -3.84), (0.0, 0.0, -7.67), (6.37, -6.26, 0.0), (6.37, 0.0, -3.84), (6.37, 6.26, -0.0)}"
11,153127.cif,Li1+:4.420 O2-:16.000 V4+:2.400 V5+:3.600,Li4,5.0,1.0,2,1,0.09,"[175.948, 132.4, 109.682, 109.682, 105.67, 105.67, 94.56, 81.414, 75.617, 75.617]","{(-4.95, 6.04, -0.06), (0.22, -6.73, 6.76), (-6.73, 0.0, 4.98), (-0.22, -6.73, -6.76), (0.0, -9.65, 0.0), (2.73, 0.0, -8.43), (4.73, 3.12, -6.7), (-7.16, 0.0, -8.55), (4.95, 6.04, 0.06), (-4.73, 3.12, 6.7)}"
12,153127.cif,Li1+:4.420 O2-:16.000 V4+:2.400 V5+:3.600,V1,5.0,4.0,4,5,0.139,"[142.26, 140.95, 110.163, 107.626, 107.626, 107.584, 92.493, 92.493, 76.279, 76.279]","{(-4.69, 0.03, -4.56), (4.69, 0.03, 4.56), (3.85, 0.0, 3.79), (5.38, -4.86, -0.91), (-5.52, 0.0, -5.32), (-0.7, 3.43, 5.47), (5.25, 0.0, -7.15), (-5.38, -4.86, 0.91), (0.7, 3.43, -5.47), (0.0, 8.32, 0.0)}"
14,155724.cif,Li1+:4.000 Mn2+:2.000 O2-:8.000 Si4+:2.000,Mn3,5.0,2.0,4,7,0.182,"[167.877, 130.196, 114.671, 114.664, 92.929, 92.929, 92.476, 92.172, 92.172, 75.392]","{(-5.4, 8.81, 0.0), (7.96, 0.0, 0.0), (0.0, 8.52, 3.85), (0.0, 1.0, 9.54), (-6.16, -3.76, 2.84), (0.0, -9.09, 3.85), (-5.4, -8.81, 0.0), (7.2, 5.05, 2.84), (-6.16, 3.76, -2.84), (7.2, -5.05, -2.84)}"
15,156006.cif,I5+:2.000 Li1+:2.000 Mo6+:2.000 O2-:12.000,Li1,5.0,1.0,2,1,0.065,"[142.949, 125.718, 120.06, 114.715, 111.162, 101.268, 98.72, 87.404, 72.127, 71.349]","{(-1.86, -2.83, -7.49), (6.65, 8.99, -5.09), (1.48, 2.83, 7.02), (1.65, 2.83, 7.76), (-8.52, 4.23, -2.43), (6.99, 0.97, -5.33), (-1.7, -2.83, -6.75), (-8.01, -3.79, -1.94), (1.99, -5.2, 7.52), (0.33, 8.02, -0.27)}"
16,157654.cif,Li1+:14.000 P5+:6.000 S2-:22.000,Li1,5.0,1.0,2,1,0.092,"[151.33, 140.95, 121.769, 106.29, 102.363, 97.262, 91.163, 86.738, 86.084, 77.555]","{(-9.07, 10.02, -4.04), (-1.68, -12.59, 1.69), (-1.42, -12.7, 1.3), (-3.71, -0.39, -13.0), (2.22, 13.34, -1.63), (7.32, 3.03, -10.21), (-10.5, -3.23, -3.21), (5.11, -9.76, -8.1), (-15.61, 7.08, 5.37), (1.96, 13.45, -1.24)}"
17,157654.cif,Li1+:14.000 P5+:6.000 S2-:22.000,Li4,5.0,1.0,2,1,0.09,"[149.204, 133.173, 125.676, 112.582, 100.591, 93.09, 92.011, 91.937, 87.495, 66.203]","{(-12.68, -2.7, -4.09), (0.85, -18.41, -7.46), (5.64, 6.06, -10.25), (10.8, 0.28, 8.52), (3.43, -11.22, 8.02), (-11.24, 2.29, 6.7), (7.07, 11.05, 0.54), (9.65, -1.92, 3.84), (-13.82, -4.9, -8.77), (-1.73, -5.44, -10.76)}"
18,157654.cif,Li1+:14.000 P5+:6.000 S2-:22.000,Li5,5.0,1.0,2,1,0.088,"[144.018, 129.279, 124.653, 122.012, 98.969, 97.319, 92.694, 84.468, 73.238, 65.688]","{(-7.35, 8.5, -8.24), (5.47, 6.22, -7.35), (9.54, 4.83, 4.24), (0.74, 14.57, -0.17), (1.48, 15.38, -1.16), (-0.4, 10.43, -0.56), (0.33, 11.24, -1.54), (-2.22, 3.48, -14.05), (15.41, 0.62, -2.55), (6.58, -6.26, -9.63)}"
