,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
18,100525.cif,Li1+:2.000 O2-:30.000 Ta5+:12.000,Ta4,6.0,5.0,6,5,0.102,"[167.343, 166.73, 166.73, 109.621, 93.646, 93.641, 93.641, 93.641, 85.268, 85.268, 85.268, 85.268, 83.644, 83.644, 83.091]"
20,100834.cif,Cl1-:32.000 Li1+:24.000 V2+:4.000,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 92.292, 92.292, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 87.708, 87.708]"
21,100834.cif,Cl1-:32.000 Li1+:24.000 V2+:4.000,V1,6.0,2.0,4,5,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
22,10179.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Fe1,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
23,10179.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
24,10236.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Al1,6.0,3.0,3,3,0.087,"[173.934, 167.959, 167.959, 99.73, 96.707, 96.707, 92.086, 92.086, 91.817, 91.811, 88.499, 88.493, 84.842, 78.773, 78.767]"
25,10236.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Li1,6.0,1.0,2,1,0.019,"[162.176, 139.455, 139.455, 128.565, 128.565, 117.091, 117.091, 90.315, 90.315, 79.351, 75.883, 75.877, 75.73, 67.741, 67.741]"
26,10237.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Al1,6.0,3.0,3,3,0.087,"[173.514, 168.014, 168.014, 99.573, 96.465, 96.459, 92.161, 92.161, 92.034, 92.034, 88.562, 88.556, 84.865, 78.685, 78.679]"
27,10237.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Li1,6.0,1.0,2,1,0.02,"[162.746, 139.253, 139.253, 128.367, 128.367, 117.323, 117.323, 90.556, 90.556, 79.52, 76.096, 76.096, 75.386, 67.462, 67.462]"
28,10350.cif,Cr4+:2.000 F1-:12.000 Li1+:4.000,Cr1,6.0,4.0,4,6,0.074,"[180.0, 180.0, 180.0, 95.48, 95.48, 94.479, 94.479, 91.364, 91.358, 88.636, 88.636, 85.521, 85.521, 84.52, 84.52]"
29,10350.cif,Cr4+:2.000 F1-:12.000 Li1+:4.000,Li1,6.0,1.0,2,1,0.017,"[171.81, 169.514, 161.191, 103.486, 97.111, 94.571, 93.945, 93.319, 93.176, 91.725, 88.487, 88.447, 87.123, 82.415, 68.457]"
30,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,Li1,6.0,1.0,2,1,0.009,"[178.015, 178.015, 177.078, 92.424, 92.35, 91.908, 91.347, 90.395, 90.286, 90.218, 89.335, 88.814, 88.04, 87.948, 86.847]"
31,1040.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Li1,6.0,1.0,2,1,0.03,"[170.505, 164.472, 163.74, 102.938, 98.714, 95.952, 93.514, 91.031, 90.246, 90.0, 89.244, 88.602, 80.665, 79.828, 76.231]"
32,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,Li2,6.0,1.0,2,1,0.034,"[175.487, 175.487, 172.793, 106.034, 99.039, 99.039, 98.129, 96.229, 96.229, 85.331, 85.331, 78.983, 78.983, 77.966, 77.966]"
33,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,W1,6.0,6.0,6,6,0.445,"[165.195, 156.809, 156.809, 102.052, 102.052, 101.233, 95.733, 95.733, 89.33, 89.33, 87.203, 87.203, 74.044, 72.608, 72.608]"
34,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Al2,6.0,3.0,3,3,0.0,"[180.0, 180.0, 180.0, 94.692, 94.692, 94.692, 94.393, 94.393, 94.393, 85.457, 85.457, 85.457, 85.457, 85.457, 85.457]"
35,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Al3,6.0,3.0,3,3,0.046,"[174.685, 174.685, 169.546, 97.955, 95.049, 95.049, 92.212, 91.817, 91.817, 89.209, 89.209, 85.095, 85.095, 83.535, 83.535]"
36,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Li2,6.0,1.0,2,1,0.019,"[174.685, 174.685, 169.546, 97.955, 95.049, 95.049, 92.212, 91.817, 91.817, 89.209, 89.209, 85.095, 85.095, 83.535, 83.535]"
37,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 94.692, 94.692, 94.692, 94.393, 94.393, 94.393, 85.457, 85.457, 85.457, 85.457, 85.457, 85.457]"
38,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Cu1,6.0,2.0,4,1,0.136,"[169.143, 169.143, 116.174, 116.174, 113.397, 113.397, 93.526, 93.526, 88.78, 82.293, 74.776, 74.776, 74.645, 74.645, 60.39]"
39,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Cu2,6.0,2.0,4,1,0.038,"[175.561, 173.88, 165.15, 97.834, 96.909, 96.333, 94.06, 92.143, 88.281, 88.275, 85.641, 85.532, 84.727, 84.635, 83.904]"
40,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Cu3,6.0,2.0,4,1,0.015,"[180.0, 180.0, 178.015, 94.341, 94.341, 92.396, 92.396, 91.478, 91.478, 88.808, 88.229, 87.105, 87.105, 86.164, 86.164]"
41,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Li3,6.0,1.0,2,1,0.007,"[180.0, 180.0, 178.015, 94.341, 94.341, 92.396, 92.396, 91.478, 91.478, 88.808, 88.229, 87.105, 87.105, 86.164, 86.164]"
42,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Li2,6.0,1.0,2,1,0.018,"[175.561, 173.88, 165.15, 97.834, 96.909, 96.333, 94.06, 92.143, 88.281, 88.275, 85.641, 85.532, 84.727, 84.635, 83.904]"
43,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Li1,6.0,1.0,2,1,0.066,"[169.143, 169.143, 116.174, 116.174, 113.397, 113.397, 93.526, 93.526, 88.78, 82.293, 74.776, 74.776, 74.645, 74.645, 60.39]"
44,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,Li2,6.0,1.0,2,1,0.053,"[153.715, 153.715, 152.338, 107.164, 107.164, 103.003, 99.033, 99.027, 93.216, 93.216, 91.02, 91.02, 85.469, 62.961, 62.961]"
45,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,Li1,6.0,1.0,2,1,0.032,"[180.0, 180.0, 180.0, 98.123, 98.123, 92.728, 92.723, 90.487, 90.487, 89.513, 89.513, 87.277, 87.272, 81.877, 81.877]"
46,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,Li2,6.0,1.0,2,1,0.015,"[180.0, 180.0, 180.0, 97.955, 97.949, 97.909, 97.909, 92.224, 92.224, 87.776, 87.776, 82.097, 82.091, 82.051, 82.051]"
47,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,Li3,6.0,1.0,2,1,0.021,"[175.415, 169.997, 167.581, 98.36, 96.569, 94.796, 93.486, 92.04, 91.381, 91.071, 90.722, 89.593, 81.686, 80.607, 78.592]"
48,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,Li4,6.0,1.0,2,1,0.033,"[174.154, 172.885, 167.239, 98.511, 96.096, 94.767, 93.888, 93.79, 90.825, 90.67, 90.521, 86.87, 84.537, 80.95, 79.082]"
49,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,Li5,6.0,1.0,2,1,0.024,"[174.384, 171.972, 167.932, 95.469, 94.439, 94.272, 93.325, 92.74, 92.659, 92.017, 90.51, 88.883, 85.647, 79.921, 79.316]"
55,108819.cif,Li1+:8.000 O2-:10.000 W6+:2.000,W1,6.0,6.0,6,6,0.212,"[172.35, 169.577, 168.436, 100.253, 93.205, 92.734, 92.413, 91.312, 91.261, 90.166, 87.903, 87.272, 87.157, 86.015, 78.27]"
56,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Co1,6.0,2.0,4,8,0.0,"[180.0, 180.0, 180.0, 91.008, 91.008, 91.008, 91.008, 91.008, 91.008, 88.992, 88.992, 88.992, 88.992, 88.992, 88.992]"
57,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Co2,6.0,2.0,4,8,0.0,"[179.19, 179.19, 179.19, 90.997, 90.997, 90.98, 89.874, 89.857, 89.857, 89.582, 89.582, 89.576, 89.576, 89.57, 89.57]"
58,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Li2,6.0,1.0,2,1,0.0,"[179.19, 179.19, 179.19, 90.997, 90.997, 90.98, 89.874, 89.857, 89.857, 89.582, 89.582, 89.576, 89.576, 89.57, 89.57]"
59,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 91.008, 91.008, 91.008, 91.008, 91.008, 91.008, 88.992, 88.992, 88.992, 88.992, 88.992, 88.992]"
60,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Ti1,6.0,3.0,4,4,0.0,"[180.0, 180.0, 180.0, 91.008, 91.008, 91.008, 91.008, 91.008, 91.008, 88.992, 88.992, 88.992, 88.992, 88.992, 88.992]"
61,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Ti2,6.0,3.0,4,4,0.0,"[179.19, 179.19, 179.19, 90.997, 90.997, 90.98, 89.874, 89.857, 89.857, 89.582, 89.582, 89.576, 89.576, 89.57, 89.57]"
62,108823.cif,Co2+:0.600 F1-:6.000 Li1+:1.200 Ti3+:1.200,Ti3,6.0,3.0,4,4,0.0,"[179.19, 179.19, 179.19, 92.579, 92.579, 92.568, 92.568, 92.562, 92.562, 88.034, 88.034, 88.017, 86.847, 86.83, 86.83]"
63,109168.cif,Li1+:4.000 Nb5+:6.000 O2-:20.000 Sr2+:3.056,Li1,6.0,1.0,2,1,0.055,"[180.0, 147.394, 147.384, 106.308, 106.308, 106.302, 106.302, 94.52, 94.52, 94.52, 94.52, 73.698, 73.698, 73.692, 73.692]"
64,109168.cif,Li1+:4.000 Nb5+:6.000 O2-:20.000 Sr2+:3.056,Nb1,6.0,5.0,5,5,0.029,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
65,109168.cif,Li1+:4.000 Nb5+:6.000 O2-:20.000 Sr2+:3.056,Nb2,6.0,5.0,5,5,0.148,"[180.0, 168.407, 168.407, 95.797, 95.797, 95.797, 95.797, 89.416, 89.416, 89.416, 89.416, 84.203, 84.203, 84.203, 84.203]"
66,109458.cif,Li1+:6.000 Nb5+:6.000 O2-:18.000,Li1,6.0,1.0,2,1,0.029,"[153.138, 153.138, 153.138, 109.305, 109.305, 109.305, 89.416, 89.416, 89.416, 80.822, 80.822, 80.822, 74.33, 74.324, 74.324]"
67,109458.cif,Li1+:6.000 Nb5+:6.000 O2-:18.000,Nb1,6.0,5.0,5,5,0.199,"[165.375, 165.375, 165.375, 100.032, 100.032, 100.032, 89.983, 89.983, 89.983, 88.567, 88.567, 88.567, 79.555, 79.555, 79.555]"
68,1125.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,Li2,6.0,1.0,2,1,0.064,"[180.0, 164.601, 164.601, 97.701, 97.701, 97.701, 97.701, 91.031, 91.031, 91.026, 91.026, 82.299, 82.299, 82.299, 82.299]"
69,1126.cif,B3+:56.000 Cl1-:8.000 Li1+:32.104 O2-:96.000,Li2,6.0,1.0,2,1,0.063,"[180.0, 164.579, 164.579, 97.712, 97.712, 97.712, 97.712, 91.037, 91.031, 91.031, 91.031, 82.288, 82.288, 82.288, 82.288]"
70,1127.cif,B3+:56.000 Cl1-:8.000 Li1+:32.600 O2-:96.000,Li2,6.0,1.0,2,1,0.063,"[180.0, 164.536, 164.536, 97.73, 97.724, 97.724, 97.724, 91.037, 91.037, 91.037, 91.031, 82.276, 82.276, 82.276, 82.27]"
71,1321.cif,Cl7+:2.000 H1+:12.000 Li1+:2.000 O2-:14.000,Li1,6.0,1.0,2,1,0.001,"[180.0, 180.0, 180.0, 96.782, 96.782, 96.782, 96.782, 96.782, 96.782, 83.356, 83.356, 83.356, 83.085, 83.085, 83.085]"
72,14.cif,Li1+:4.000 Nd3+:4.000 O2-:48.000 P5+:16.000,Li1,6.0,1.0,2,1,0.08,"[157.294, 144.272, 144.272, 123.594, 123.587, 115.862, 115.862, 94.778, 86.095, 84.618, 84.618, 80.055, 80.055, 58.392, 58.386]"
73,14344.cif,I5+:2.000 Li1+:2.000 O2-:6.000,Li1,6.0,1.0,2,1,0.004,"[179.19, 179.19, 179.19, 93.325, 93.325, 93.325, 93.325, 93.325, 93.325, 87.346, 87.346, 87.346, 85.998, 85.992, 85.992]"
74,14377.cif,I5+:2.000 Li1+:2.000 O2-:6.000,Li1,6.0,1.0,2,1,0.027,"[173.617, 173.617, 173.617, 92.826, 92.826, 92.826, 92.826, 92.826, 92.826, 91.622, 91.616, 91.616, 82.392, 82.392, 82.392]"
75,1485.cif,Li1+:8.000 O2-:16.000 Te6+:4.000,Li1,6.0,1.0,2,1,0.044,"[172.613, 160.424, 160.424, 108.675, 103.332, 103.332, 97.556, 95.267, 95.267, 81.048, 81.048, 79.991, 79.991, 79.834, 79.834]"
76,1485.cif,Li1+:8.000 O2-:16.000 Te6+:4.000,Te1,6.0,6.0,5,6,0.119,"[164.344, 157.458, 157.458, 109.02, 109.02, 104.046, 90.728, 90.728, 89.398, 89.398, 84.215, 80.892, 80.892, 77.602, 77.602]"
77,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 96.165, 96.165, 96.165, 96.165, 96.165, 96.165, 83.835, 83.835, 83.835, 83.829, 83.829, 83.829]"
78,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 96.165, 96.165, 96.165, 96.165, 96.165, 96.165, 83.835, 83.835, 83.835, 83.829, 83.829, 83.829]"
79,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.165, 96.165, 96.165, 96.165, 96.165, 96.165, 83.835, 83.835, 83.835, 83.829, 83.829, 83.829]"
80,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.165, 96.165, 96.165, 96.165, 96.165, 96.165, 83.835, 83.835, 83.835, 83.829, 83.829, 83.829]"
81,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 96.062, 96.062, 96.062, 96.062, 96.062, 96.062, 83.938, 83.938, 83.938, 83.938, 83.938, 83.938]"
82,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 96.062, 96.062, 96.062, 96.062, 96.062, 96.062, 83.938, 83.938, 83.938, 83.938, 83.938, 83.938]"
83,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.062, 96.062, 96.062, 96.062, 96.062, 96.062, 83.938, 83.938, 83.938, 83.938, 83.938, 83.938]"
84,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.062, 96.062, 96.062, 96.062, 96.062, 96.062, 83.938, 83.938, 83.938, 83.938, 83.938, 83.938]"
85,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 96.644, 96.644, 96.644, 96.644, 96.644, 96.644, 83.356, 83.356, 83.356, 83.356, 83.356, 83.356]"
86,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 96.644, 96.644, 96.644, 96.644, 96.644, 96.644, 83.356, 83.356, 83.356, 83.356, 83.356, 83.356]"
87,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.644, 96.644, 96.644, 96.644, 96.644, 96.644, 83.356, 83.356, 83.356, 83.356, 83.356, 83.356]"
88,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 96.644, 96.644, 96.644, 96.644, 96.644, 96.644, 83.356, 83.356, 83.356, 83.356, 83.356, 83.356]"
89,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 97.019, 97.019, 97.019, 97.019, 97.019, 97.019, 82.981, 82.981, 82.981, 82.981, 82.981, 82.981]"
90,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 97.019, 97.019, 97.019, 97.019, 97.019, 97.019, 82.981, 82.981, 82.981, 82.981, 82.981, 82.981]"
91,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 97.019, 97.019, 97.019, 97.019, 97.019, 97.019, 82.981, 82.981, 82.981, 82.981, 82.981, 82.981]"
92,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 97.019, 97.019, 97.019, 97.019, 97.019, 97.019, 82.981, 82.981, 82.981, 82.981, 82.981, 82.981]"
93,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 97.996, 97.996, 97.996, 97.996, 97.996, 97.996, 82.004, 82.004, 82.004, 82.004, 82.004, 82.004]"
94,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 97.996, 97.996, 97.996, 97.996, 97.996, 97.996, 82.004, 82.004, 82.004, 82.004, 82.004, 82.004]"
95,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 97.996, 97.996, 97.996, 97.996, 97.996, 97.996, 82.004, 82.004, 82.004, 82.004, 82.004, 82.004]"
96,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 97.996, 97.996, 97.996, 97.996, 97.996, 97.996, 82.004, 82.004, 82.004, 82.004, 82.004, 82.004]"
97,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Fe3,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.353]"
98,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.359]"
99,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Li3,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.353]"
100,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Li2,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.359]"
101,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Mn3,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.353]"
102,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Mn1,6.0,3.0,4,7,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.359]"
103,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Mn4,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.353]"
104,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Mn2,6.0,4.0,4,7,0.0,"[180.0, 180.0, 180.0, 95.641, 95.641, 95.641, 95.641, 95.641, 95.641, 84.359, 84.359, 84.359, 84.359, 84.359, 84.359]"
105,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Fe2,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 95.601, 95.601, 95.601, 95.192, 95.192, 95.187, 84.606, 84.606, 84.6, 84.6, 84.6, 84.6]"
106,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Fe3,6.0,3.0,4,8,0.005,"[180.0, 180.0, 180.0, 95.4, 95.4, 95.394, 95.394, 95.192, 95.187, 84.813, 84.808, 84.808, 84.808, 84.399, 84.399]"
107,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Li3,6.0,1.0,2,1,0.002,"[180.0, 180.0, 180.0, 95.4, 95.394, 95.394, 95.192, 95.192, 95.187, 84.813, 84.808, 84.808, 84.606, 84.606, 84.6]"
