,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
0,1000.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Fe1,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
1,1000.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
2,1001.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Fe1,6.0,3.0,4,8,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
3,1001.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,Li1,6.0,1.0,2,1,0.0,"[180.0, 180.0, 180.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
4,100114.cif,Be2+:2.000 Li1+:2.000 Sb3-:2.000,Li1,6.0,1.0,2,1,0.019,"[176.113, 176.113, 176.113, 93.021, 93.021, 93.015, 89.656, 89.656, 89.65, 89.65, 89.65, 89.65, 87.547, 87.547, 87.541]"
10,100166.cif,F1-:40.000 K1+:20.000 Li1+:8.000 Nd3+:4.000,K3,6.0,1.0,4,1,0.037,"[156.999, 137.088, 137.088, 134.155, 134.155, 134.043, 94.491, 94.491, 79.304, 79.304, 79.269, 79.269, 71.585, 65.556, 65.556]"
11,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,Li1,6.0,1.0,2,1,0.021,"[168.55, 167.136, 167.136, 98.986, 95.756, 95.756, 92.482, 92.482, 91.679, 91.673, 90.613, 90.613, 81.304, 78.779, 78.779]"
12,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,Li3,6.0,1.0,2,1,0.045,"[168.813, 162.251, 156.192, 109.913, 106.344, 98.691, 90.172, 89.519, 88.39, 87.925, 84.716, 84.29, 81.019, 78.486, 74.342]"
13,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,Li4,6.0,1.0,2,1,0.061,"[173.514, 156.607, 151.366, 104.785, 103.191, 101.408, 98.569, 97.071, 90.625, 85.36, 81.709, 77.549, 76.668, 76.344, 74.942]"
14,100485.cif,Cl1-:2.000 Fe3+:2.000 Li1+:1.000 O2-:2.000,Fe1,6.0,3.0,4,8,0.065,"[172.437, 172.437, 148.299, 103.651, 101.28, 101.28, 101.28, 101.28, 88.539, 83.909, 83.909, 80.282, 80.282, 80.282, 80.282]"
15,100524.cif,Li1+:3.000 O2-:31.000 Ta5+:12.000,Ta3,6.0,5.0,6,5,0.124,"[178.379, 156.121, 150.482, 108.276, 103.144, 103.144, 95.601, 92.161, 92.161, 88.252, 88.252, 86.032, 75.262, 75.262, 70.093]"
16,100524.cif,Li1+:3.000 O2-:31.000 Ta5+:12.000,Ta4,6.0,5.0,6,5,0.118,"[178.854, 178.854, 162.804, 95.768, 95.768, 95.768, 95.768, 95.503, 93.187, 85.659, 85.659, 84.1, 84.1, 84.1, 84.1]"
17,100525.cif,Li1+:2.000 O2-:30.000 Ta5+:12.000,Ta3,6.0,5.0,6,5,0.15,"[170.751, 168.522, 156.234, 105.135, 98.627, 93.491, 93.491, 93.486, 93.486, 85.825, 85.825, 84.969, 84.969, 84.1, 72.14]"
