,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
91,156894.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.51)}"
92,156895.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 11.02)}"
93,156896.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.53)}"
94,156897.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 11.05)}"
95,156898.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.58)}"
96,156899.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.1)}"
97,156900.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.63)}"
98,156901.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.15)}"
99,156902.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 11.67)}"
100,156903.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.987]","{(0.0, 0.0, 11.19)}"
111,158373.cif,Bi5+:16.000 La3+:16.008 Li1+:47.957 O2-:96.000 Sr2+:7.992,Li2,3.0,1.0,2,1,0.251,"[128.448, 112.65, 90.481]","{(-4.67, -6.08, -4.11)}"
117,159716.cif,Li1+:32.000 Mn2+:3.840 O2-:128.000 P5+:32.000 Zn2+:28.160,Mn7,3.0,2.0,4,7,0.185,"[127.265, 121.904, 110.09]","{(-5.79, 4.74, -2.57)}"
123,161494.cif,Al3+:4.000 H1+:8.000 Li1+:4.000 O2-:20.000 Si4+:4.000,H1,3.0,1.0,1,1,0.021,"[136.021, 85.124, 57.792]","{(-5.25, 0.0, 0.78)}"
146,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,B1,3.0,3.0,2,3,0.017,"[123.257, 119.762, 116.981]","{(2.61, -0.58, -4.15)}"
147,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,B2,3.0,3.0,2,3,0.036,"[122.1, 121.326, 116.564]","{(-1.83, 0.98, 4.47)}"
148,164145.cif,B3+:12.000 Li1+:24.000 Nd3+:4.000 O2-:36.000,B3,3.0,3.0,2,3,0.05,"[121.938, 121.071, 116.943]","{(-4.81, -0.09, 1.05)}"
162,16568.cif,B3+:4.000 Li1+:4.000 O2-:8.000,B1,3.0,3.0,2,3,0.078,"[126.114, 117.497, 116.379]","{(-0.93, 0.16, 4.79)}"
198,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C2,3.0,2.0,2,4,0.031,"[108.403, 107.296, 105.605]","{(0.75, -3.92, -0.7)}"
199,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C3,3.0,2.0,2,4,0.028,"[108.99, 108.126, 105.73]","{(-3.98, 0.7, 0.3)}"
200,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C4,3.0,2.0,2,4,0.024,"[108.494, 107.987, 106.517]","{(2.03, 1.39, 3.21)}"
201,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C6,3.0,2.0,2,4,0.03,"[108.602, 106.523, 106.206]","{(-3.56, 0.51, 1.85)}"
202,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C7,3.0,2.0,2,4,0.025,"[109.099, 107.476, 106.111]","{(-0.18, 3.56, 1.91)}"
203,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C10,3.0,2.0,2,4,0.022,"[110.371, 108.041, 106.69]","{(3.7, -0.03, 1.97)}"
204,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C11,3.0,2.0,2,4,0.026,"[108.832, 107.296, 106.284]","{(3.08, -1.0, -2.64)}"
205,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C12,3.0,2.0,2,4,0.026,"[110.182, 109.433, 107.524]","{(0.04, 2.49, -3.4)}"
206,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C14,3.0,2.0,2,4,0.03,"[108.578, 106.559, 106.045]","{(2.34, 3.13, -1.18)}"
207,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C15,3.0,2.0,2,4,0.008,"[107.734, 107.71, 106.738]","{(1.11, 2.34, 3.11)}"
208,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C16,3.0,2.0,2,4,0.007,"[108.095, 107.74, 107.188]","{(-1.76, 2.17, -2.94)}"
209,173208.cif,C2+:48.000 C4+:16.000 F1-:144.000 Li1+:16.000 O2-:16.000,C8,3.0,4.0,2,4,0.01,"[108.433, 107.722, 106.732]","{(-0.9, -3.09, 2.47)}"
229,174533.cif,C4+:8.000 La3+:4.000 Li1+:4.000 O2-:24.000,C1,3.0,4.0,2,4,0.043,"[122.242, 121.406, 116.321]","{(-3.83, 1.7, -0.89)}"
232,180108.cif,B3+:16.000 Cu2+:4.000 Li1+:8.000 O2-:40.000 Pb2+:8.000,B1,3.0,3.0,2,3,0.054,"[122.561, 120.924, 116.436]","{(3.27, -2.64, 2.53)}"
233,180108.cif,B3+:16.000 Cu2+:4.000 Li1+:8.000 O2-:40.000 Pb2+:8.000,B2,3.0,3.0,2,3,0.126,"[125.422, 122.909, 111.605]","{(-3.1, 2.38, -3.08)}"
238,180507.cif,B3+:32.000 Li1+:16.000 O2-:56.000,B1,3.0,3.0,2,3,0.019,"[121.305, 119.36, 119.314]","{(-0.45, -2.4, -4.21)}"
240,180730.cif,B3+:20.000 Cs1+:8.000 Li1+:12.000 O2-:40.000,B2,3.0,3.0,2,3,0.103,"[122.786, 120.784, 116.423]","{(3.66, -2.23, -2.31)}"
241,180730.cif,B3+:20.000 Cs1+:8.000 Li1+:12.000 O2-:40.000,B3,3.0,3.0,2,3,0.1,"[121.379, 120.517, 118.099]","{(2.59, 3.36, -2.45)}"
253,183434.cif,B3+:22.000 Li1+:12.000 O2-:44.000 Rb1+:10.000,B1,3.0,3.0,2,3,0.114,"[123.69, 121.44, 114.866]","{(2.28, 3.68, -2.23)}"
254,183434.cif,B3+:22.000 Li1+:12.000 O2-:44.000 Rb1+:10.000,B4,3.0,3.0,2,3,0.078,"[121.379, 120.704, 117.892]","{(-1.85, 4.52, -0.16)}"
255,183434.cif,B3+:22.000 Li1+:12.000 O2-:44.000 Rb1+:10.000,B5,3.0,3.0,2,3,0.114,"[122.391, 122.391, 115.22]","{(-4.86, 0.0, 0.72)}"
256,183434.cif,B3+:22.000 Li1+:12.000 O2-:44.000 Rb1+:10.000,B6,3.0,3.0,2,3,0.11,"[121.904, 120.371, 117.71]","{(-3.12, -2.3, 3.04)}"
260,183601.cif,Fe2+:7.000 Fe3+:1.000 Li1+:15.000 O2-:56.000 P5+:16.000,Fe2,3.0,2.0,4,8,0.288,"[120.338, 117.097, 111.254]","{(-2.27, 7.19, 1.4)}"
261,183601.cif,Fe2+:7.000 Fe3+:1.000 Li1+:15.000 O2-:56.000 P5+:16.000,Li1,3.0,1.0,2,1,0.124,"[120.338, 117.097, 111.254]","{(-2.27, 7.19, 1.4)}"
277,186158.cif,Al3+:12.000 Li1+:4.002 Mg2+:4.002 O2-:48.000 Si4+:12.000,Al2,3.0,3.0,3,3,0.113,"[129.702, 120.192, 101.426]","{(4.67, 0.66, 2.95)}"
278,186158.cif,Al3+:12.000 Li1+:4.002 Mg2+:4.002 O2-:48.000 Si4+:12.000,Si2,3.0,4.0,3,4,0.113,"[129.71, 120.185, 101.42]","{(1.76, -4.38, -2.95)}"
282,186900.cif,B3+:64.000 Li1+:16.000 Na1+:16.000 O2-:112.000,B2,3.0,3.0,2,3,0.036,"[120.378, 120.371, 119.249]","{(0.82, -2.15, -4.25)}"
283,186900.cif,B3+:64.000 Li1+:16.000 Na1+:16.000 O2-:112.000,B4,3.0,3.0,2,3,0.043,"[121.473, 119.584, 118.94]","{(-1.67, 1.79, 4.19)}"
288,187060.cif,B3+:28.000 Li1+:20.000 O2-:56.000 Rb1+:8.000,B1,3.0,3.0,2,3,0.071,"[120.517, 120.517, 118.934]","{(0.0, 0.07, 4.88)}"
289,187060.cif,B3+:28.000 Li1+:20.000 O2-:56.000 Rb1+:8.000,B3,3.0,3.0,2,3,0.143,"[126.058, 118.679, 115.258]","{(4.67, -1.35, -0.18)}"
290,187060.cif,B3+:28.000 Li1+:20.000 O2-:56.000 Rb1+:8.000,B4,3.0,3.0,2,3,0.052,"[124.653, 119.61, 115.709]","{(2.49, -4.12, -0.84)}"
313,190654.cif,As5+:12.000 Li1+:4.000 O2-:48.000 Zr4+:8.000,Li1,3.0,1.0,2,1,0.15,"[125.037, 110.06, 108.548]","{(-4.38, -2.67, -7.78)}"
316,190875.cif,I5+:4.000 Li1+:4.000 O2-:16.000 Zn2+:4.000,I1,3.0,5.0,5,7,0.02,"[100.521, 98.633, 98.633]","{(0.0, -5.83, 2.95)}"
317,191287.cif,B3+:18.000 Eu2+:2.700 Eu3+:15.300 Li1+:2.640 N3-:36.000,B1,3.0,3.0,2,3,0.008,"[122.195, 118.901, 118.901]","{(0.0, 0.0, -5.62)}"
318,191545.cif,Li1+:3.880 Mn2+:1.860 O2-:8.000 P5+:0.400 Si4+:1.560,P1,3.0,5.0,3,5,0.019,"[114.86, 113.503, 113.497]","{(0.0, 0.31, 6.16)}"
319,191545.cif,Li1+:3.880 Mn2+:1.860 O2-:8.000 P5+:0.400 Si4+:1.560,Si2,3.0,4.0,3,4,0.019,"[114.86, 113.503, 113.497]","{(0.0, 0.31, 6.16)}"
321,192162.cif,B3+:18.000 La3+:8.994 Li1+:3.000 O2-:54.000 Sr2+:12.006,B1,3.0,3.0,2,3,0.006,"[120.484, 120.013, 119.498]","{(-3.04, 3.78, -0.93)}"
322,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B1,3.0,3.0,2,3,0.067,"[122.731, 122.181, 115.087]","{(1.18, 0.55, 4.66)}"
323,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B3,3.0,3.0,2,3,0.041,"[120.944, 120.604, 118.353]","{(-0.6, 2.06, 4.38)}"
324,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B4,3.0,3.0,2,3,0.055,"[122.093, 121.071, 116.757]","{(-0.82, -0.96, 4.63)}"
325,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B5,3.0,3.0,2,3,0.031,"[121.373, 121.346, 117.277]","{(-1.28, -0.3, -4.65)}"
326,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B7,3.0,3.0,2,3,0.037,"[123.374, 121.379, 115.246]","{(-0.08, -2.01, -4.39)}"
327,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B8,3.0,3.0,2,3,0.052,"[123.587, 121.978, 114.425]","{(0.88, 0.36, -4.8)}"
328,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B10,3.0,3.0,2,3,0.044,"[121.051, 121.024, 117.911]","{(-0.2, -0.84, -4.78)}"
329,192496.cif,B3+:24.000 Li1+:16.000 O2-:64.000 P5+:8.000,B12,3.0,3.0,2,3,0.06,"[123.12, 121.352, 115.518]","{(-0.74, 0.83, 4.73)}"
370,196283.cif,B3+:9.000 Li1+:3.000 O2-:27.000 Sr2+:3.000 Tb3+:6.000,B1,3.0,3.0,2,3,0.001,"[120.04, 119.967, 119.967]","{(0.0, 0.0, -4.97)}"
371,196283.cif,B3+:9.000 Li1+:3.000 O2-:27.000 Sr2+:3.000 Tb3+:6.000,B2,3.0,3.0,2,3,0.06,"[121.621, 121.614, 116.692]","{(4.25, 2.46, 0.46)}"
373,196355.cif,B3+:8.000 Co2+:3.840 Li1+:8.000 Mg2+:4.160 O2-:24.000,B1,3.0,3.0,2,3,0.372,"[132.33, 115.404, 108.089]","{(1.25, -0.6, -4.27)}"
383,200615.cif,B3+:4.000 Cd2+:4.000 Li1+:4.000 O2-:12.000,B1,3.0,3.0,2,3,0.026,"[120.717, 119.756, 119.485]","{(3.57, -3.35, -0.98)}"
384,200669.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,I1,3.0,5.0,5,7,0.03,"[101.765, 99.079, 98.737]","{(-0.42, -2.41, -6.02)}"
385,200669.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,I2,3.0,5.0,5,7,0.041,"[99.253, 97.608, 97.574]","{(-1.69, -0.17, -6.19)}"
386,200669.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,I3,3.0,5.0,5,7,0.003,"[101.666, 99.631, 99.12]","{(4.9, -0.6, 4.51)}"
390,200780.cif,Cs1+:2.000 H1+:8.000 Li1+:2.000 O2-:10.000 S4+:2.000,S1,3.0,4.0,3,6,0.024,"[105.545, 105.379, 105.379]","{(0.3, 0.0, 5.09)}"
391,200891.cif,B3+:4.000 Li1+:4.000 O2-:8.000,B1,3.0,3.0,2,3,0.095,"[126.627, 117.536, 115.823]","{(-0.93, 0.17, 4.8)}"
398,200980.cif,B3+:56.000 Cl1-:8.000 Li1+:40.000 O2-:100.000,B3,3.0,3.0,2,3,0.0,"[119.993, 119.993, 119.993]","{(-2.83, -2.83, 2.83)}"
399,200981.cif,B3+:56.000 Cl1-:8.000 Li1+:40.000 O2-:100.000,B3,3.0,3.0,2,3,0.0,"[119.993, 119.993, 119.993]","{(-2.83, -2.83, 2.83)}"
400,201040.cif,H1+:4.000 Li1+:4.000 O2-:12.000 P3+:4.000 Tl1+:4.000,H1,3.0,1.0,1,1,0.02,"[65.871, 65.02, 64.628]","{(4.64, 1.77, -1.72)}"
402,201040.cif,H1+:4.000 Li1+:4.000 O2-:12.000 P3+:4.000 Tl1+:4.000,P1,3.0,3.0,3,5,0.06,"[117.989, 112.129, 104.454]","{(4.64, 1.77, -1.72)}"
415,20155.cif,B3+:20.000 H1+:8.000 Li1+:12.000 O2-:40.000,B2,3.0,3.0,2,3,0.023,"[122.114, 120.584, 117.303]","{(1.01, 4.46, 1.64)}"
420,20173.cif,B3+:20.000 H1+:8.000 Li1+:12.000 O2-:40.000,B2,3.0,3.0,2,3,0.017,"[122.073, 120.977, 116.956]","{(-1.01, -4.44, -1.63)}"
440,202863.cif,B3+:10.000 Ba2+:4.000 Li1+:2.000 O2-:20.000,B1,3.0,3.0,2,3,0.071,"[120.577, 120.577, 118.796]","{(4.53, 0.0, -1.85)}"
441,202863.cif,B3+:10.000 Ba2+:4.000 Li1+:2.000 O2-:20.000,B2,3.0,3.0,2,3,0.083,"[125.205, 120.132, 114.664]","{(-1.17, -2.91, 3.74)}"
463,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C1,3.0,4.0,2,4,0.005,"[120.697, 119.841, 119.446]","{(0.24, 0.17, -4.27)}"
464,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C2,3.0,4.0,2,4,0.02,"[120.684, 119.657, 119.657]","{(0.08, 0.06, 4.27)}"
465,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C3,3.0,4.0,2,4,0.007,"[120.697, 119.888, 119.4]","{(0.88, -0.52, 4.11)}"
466,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C4,3.0,4.0,2,4,0.024,"[121.165, 120.066, 118.764]","{(-0.03, 0.1, 4.28)}"
467,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C5,3.0,4.0,2,4,0.005,"[120.285, 119.98, 119.736]","{(0.06, 0.02, -4.28)}"
468,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C6,3.0,4.0,2,4,0.005,"[120.404, 120.185, 119.406]","{(0.05, -0.24, -4.27)}"
469,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C7,3.0,4.0,2,4,0.017,"[120.957, 119.967, 119.071]","{(0.72, -0.01, 4.16)}"
470,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C8,3.0,4.0,2,4,0.015,"[120.458, 120.132, 119.406]","{(-0.43, -0.67, 4.15)}"
471,203217.cif,C4+:9.000 Li1+:9.000 Na1+:9.000 O2-:27.000,C9,3.0,4.0,2,4,0.03,"[120.537, 120.497, 118.967]","{(-0.55, 0.87, -4.12)}"
475,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,B1,3.0,3.0,2,3,0.0,"[120.0, 120.0, 120.0]","{(0.0, 0.0, 5.0)}"
476,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,B2,3.0,3.0,2,3,0.001,"[120.033, 119.987, 119.98]","{(0.0, -0.0, 5.0)}"
477,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,B3,3.0,3.0,2,3,0.001,"[120.02, 120.013, 119.967]","{(0.0, 0.0, 5.03)}"
489,23109.cif,H1+:24.000 Li1+:4.000 N5+:4.000 O2-:24.000,N1,3.0,5.0,2,5,0.035,"[122.087, 118.954, 118.954]","{(-4.03, 0.0, 0.0)}"
490,23110.cif,H1+:24.000 Li1+:4.000 N5+:4.000 O2-:24.000,N1,3.0,5.0,2,5,0.028,"[121.709, 119.15, 119.144]","{(-4.0, 0.0, 0.0)}"
498,236883.cif,B3+:8.000 Fe2+:8.000 Li1+:8.000 O2-:24.000,B1,3.0,3.0,2,3,0.043,"[122.643, 118.731, 118.62]","{(1.3, -0.82, -4.75)}"
499,236884.cif,B3+:8.000 Fe2+:8.000 Li1+:7.920 O2-:24.000,B1,3.0,3.0,2,3,0.134,"[125.079, 120.245, 114.671]","{(1.15, -0.71, -4.7)}"
500,236885.cif,B3+:8.000 Fe2+:8.000 Li1+:8.000 O2-:24.000,B1,3.0,3.0,2,3,0.015,"[120.611, 119.861, 119.525]","{(-1.16, 0.73, 4.75)}"
505,237332.cif,B3+:8.000 Li1+:8.000 Mn2+:8.000 O2-:24.000,B1,3.0,3.0,2,3,0.035,"[120.458, 120.278, 119.255]","{(1.24, -0.8, -4.71)}"
506,237333.cif,B3+:8.000 Fe2+:8.000 Li1+:8.000 O2-:24.000,B1,3.0,3.0,2,3,0.042,"[122.629, 118.764, 118.601]","{(1.3, -0.82, -4.73)}"
507,237334.cif,B3+:8.000 Co2+:8.000 Li1+:8.000 O2-:24.000,B1,3.0,3.0,2,3,0.036,"[120.704, 119.874, 119.419]","{(1.2, -0.71, -4.74)}"
508,237524.cif,B3+:6.000 Cu2+:2.000 Li1+:6.000 O2-:14.000,B1,3.0,3.0,2,3,0.121,"[125.556, 121.837, 112.606]","{(4.77, -1.27, -0.46)}"
509,237524.cif,B3+:6.000 Cu2+:2.000 Li1+:6.000 O2-:14.000,B2,3.0,3.0,2,3,0.051,"[120.911, 120.331, 118.751]","{(4.39, -1.82, -0.89)}"
510,237524.cif,B3+:6.000 Cu2+:2.000 Li1+:6.000 O2-:14.000,B3,3.0,3.0,2,3,0.094,"[123.134, 122.69, 114.023]","{(-4.36, 2.32, 0.21)}"
514,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B1,3.0,3.0,2,3,0.048,"[121.763, 119.308, 118.842]","{(4.52, -0.0, -1.73)}"
515,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B2,3.0,3.0,2,3,0.087,"[128.178, 126.001, 105.819]","{(-4.49, -1.32, 1.23)}"
516,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B3,3.0,3.0,2,3,0.047,"[122.834, 120.497, 116.667]","{(-4.34, -1.33, 1.65)}"
517,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B4,3.0,3.0,2,3,0.099,"[127.546, 120.657, 111.796]","{(-4.28, -0.87, 2.25)}"
518,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B5,3.0,3.0,2,3,0.096,"[123.966, 118.307, 117.717]","{(-4.66, -0.31, -1.49)}"
519,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,B6,3.0,3.0,2,3,0.06,"[127.416, 121.601, 110.984]","{(-4.43, -1.27, -1.48)}"
522,237526.cif,B3+:4.000 Cu2+:1.000 Li1+:6.000 O2-:10.000,B1,3.0,3.0,2,3,0.102,"[127.078, 120.285, 112.631]","{(-4.79, -0.79, -0.09)}"
523,237526.cif,B3+:4.000 Cu2+:1.000 Li1+:6.000 O2-:10.000,B2,3.0,3.0,2,3,0.062,"[122.29, 122.06, 115.525]","{(-4.44, -1.89, -0.29)}"
526,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B1,3.0,3.0,2,3,0.122,"[125.959, 118.522, 115.525]","{(-1.02, 4.72, 0.79)}"
527,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B2,3.0,3.0,2,3,0.061,"[124.472, 120.139, 115.391]","{(-0.76, 4.4, 1.74)}"
528,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B3,3.0,3.0,2,3,0.133,"[127.865, 126.534, 105.581]","{(1.37, 4.34, 1.54)}"
529,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B4,3.0,3.0,2,3,0.052,"[123.525, 122.032, 114.444]","{(-1.25, -4.39, -1.47)}"
530,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B5,3.0,3.0,2,3,0.083,"[125.803, 120.564, 113.634]","{(0.99, 4.51, 1.58)}"
531,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B6,3.0,3.0,2,3,0.069,"[125.535, 122.772, 111.691]","{(-1.94, -4.42, -0.72)}"
532,237527.cif,B3+:28.000 Cu2+:14.000 Li1+:16.000 O2-:64.000,B7,3.0,3.0,2,3,0.122,"[122.984, 119.597, 117.419]","{(-1.81, -4.54, -0.05)}"
541,238091.cif,B3+:28.000 Ba2+:48.000 F1-:16.000 Li1+:4.000 O2-:84.000,B1,3.0,3.0,2,3,0.028,"[121.891, 119.052, 119.052]","{(-2.98, -2.98, -2.65)}"
542,238091.cif,B3+:28.000 Ba2+:48.000 F1-:16.000 Li1+:4.000 O2-:84.000,B2,3.0,3.0,2,3,0.009,"[120.804, 119.597, 119.597]","{(0.0, -0.0, -4.96)}"
543,238154.cif,B3+:8.000 Fe2+:4.002 Fe3+:2.958 Li1+:7.120 O2-:24.000,B1,3.0,3.0,2,3,0.003,"[127.164, 117.168, 114.898]","{(1.76, 0.73, -4.42)}"
544,239000.cif,B3+:4.000 Ca2+:2.000 Li1+:8.000 O2-:12.000,B1,3.0,3.0,2,3,0.013,"[121.621, 119.196, 119.176]","{(0.0, 0.0, 4.99)}"
