,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
5,100324.cif,C4+:4.000 Li1+:8.000 O2-:12.000,C1,3.0,4.0,2,4,0.02,"[120.04, 119.98, 119.98]","{(-1.35, -0.0, 4.04)}"
17,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B2,3.0,3.0,2,3,0.0,"[119.914, 119.914, 119.914]","{(2.81, 2.81, -2.81)}"
18,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B3,3.0,3.0,2,3,0.0,"[120.0, 120.0, 120.0]","{(-2.81, -2.81, 2.81)}"
21,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,Se1,3.0,4.0,4,6,0.129,"[104.643, 101.519, 100.294]","{(-4.6, -3.98, -0.82)}"
22,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,Se2,3.0,4.0,4,6,0.115,"[103.645, 102.545, 99.433]","{(-4.5, -3.95, -1.13)}"
30,110018.cif,C2+:4.000 F1-:12.000 Li1+:4.000 O2-:12.000 S6+:4.000,C1,3.0,2.0,2,4,0.011,"[109.639, 108.869, 108.742]","{(3.61, -1.71, -0.23)}"
32,110018.cif,C2+:4.000 F1-:12.000 Li1+:4.000 O2-:12.000 S6+:4.000,S1,3.0,6.0,3,6,0.025,"[115.703, 114.086, 112.675]","{(-4.59, 2.08, 0.4)}"
33,1125.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B2,3.0,3.0,2,3,0.0,"[119.993, 119.993, 119.993]","{(-2.8, 2.8, -2.8)}"
34,1126.cif,B3+:56.000 Cl1-:8.000 Li1+:32.104 O2-:96.000,B2,3.0,3.0,2,3,0.0,"[120.0, 120.0, 120.0]","{(-2.83, 2.83, -2.83)}"
35,1127.cif,B3+:56.000 Cl1-:8.000 Li1+:32.600 O2-:96.000,B2,3.0,3.0,2,3,0.0,"[120.0, 120.0, 120.0]","{(-2.83, 2.83, -2.83)}"
36,130018.cif,B3+:32.000 Li1+:16.000 O2-:56.000,B1,3.0,3.0,2,3,0.021,"[121.158, 119.518, 119.321]","{(0.43, 2.4, 4.2)}"
40,14344.cif,I5+:2.000 Li1+:2.000 O2-:6.000,I1,3.0,5.0,5,7,0.001,"[99.55, 99.544, 99.532]","{(0.0, 0.0, 6.61)}"
45,14377.cif,I5+:2.000 Li1+:2.000 O2-:6.000,I1,3.0,5.0,5,7,0.001,"[98.615, 98.61, 98.604]","{(0.0, 0.0, -6.58)}"
75,153443.cif,B3+:24.000 Cs1+:3.936 Li1+:4.000 O2-:40.000,B2,3.0,3.0,2,3,0.042,"[122.636, 120.106, 117.226]","{(-2.41, 0.29, -4.18)}"
83,156006.cif,I5+:2.000 Li1+:2.000 Mo6+:2.000 O2-:12.000,I1,3.0,5.0,5,7,0.049,"[100.632, 98.268, 96.292]","{(-0.9, -5.83, 2.58)}"
85,156888.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 11.46)}"
86,156889.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 10.94)}"
87,156890.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 11.46)}"
88,156891.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 10.95)}"
89,156892.cif,Li1+:3.000 N3-:1.000,Li2,3.0,1.0,2,1,0.0,"[120.007, 120.0, 119.993]","{(0.0, 0.0, 11.47)}"
90,156893.cif,Li1+:6.000 N3-:2.000,Li1,3.0,1.0,2,1,0.0,"[120.007, 120.007, 119.993]","{(0.0, 0.0, 10.97)}"
