,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
30,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H1,2.0,1.0,1,1,0.224,[173.265],set()
31,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H2,2.0,1.0,1,1,0.112,[176.562],set()
32,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H3,2.0,1.0,1,1,0.283,[172.265],set()
52,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H1,2.0,1.0,1,1,0.13,[168.294],set()
53,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H2,2.0,1.0,1,1,0.29,[163.699],set()
54,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H3,2.0,1.0,1,1,0.304,[155.313],set()
58,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H2,2.0,1.0,1,1,0.046,[174.938],set()
63,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H1,2.0,1.0,1,1,0.045,[164.472],set()
136,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H1,2.0,1.0,1,1,0.272,[172.885],set()
137,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H2,2.0,1.0,1,1,0.305,[173.72],set()
144,152167.cif,F1-:76.000 H1+:8.000 Li1+:4.000 Rb1+:16.000 Zr4+:12.000,H1,2.0,1.0,1,1,0.251,[166.68],set()
145,152167.cif,F1-:76.000 H1+:8.000 Li1+:4.000 Rb1+:16.000 Zr4+:12.000,H2,2.0,1.0,1,1,0.254,[149.883],set()
161,156888.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
162,156890.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
163,156892.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
164,156894.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
165,156896.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
166,156898.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
167,156900.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
168,156902.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
