,Angles
2047,"[117.484, 116.859, 112.377, 107.752, 106.666, 91.794]"
2048,"[131.514, 112.111, 112.105, 108.923, 91.908, 91.908]"
2049,"[110.677, 110.677, 109.487, 109.153, 109.147, 107.65]"
2050,"[127.611, 105.557, 105.557, 105.545, 105.545, 105.183]"
2051,"[112.998, 110.818, 109.859, 109.099, 107.842, 105.962]"
2052,"[127.611, 105.557, 105.557, 105.545, 105.545, 105.183]"
2053,"[111.975, 110.487, 110.487, 108.766, 108.766, 106.147]"
2054,"[116.795, 116.583, 113.179, 108.059, 106.051, 92.573]"
2055,"[131.353, 111.987, 111.987, 107.128, 93.084, 93.084]"
2056,"[116.795, 116.583, 113.179, 108.065, 106.051, 92.573]"
2057,"[131.353, 111.987, 111.987, 107.128, 93.084, 93.084]"
2058,"[110.548, 110.548, 110.06, 108.748, 108.748, 108.12]"
2059,"[118.457, 114.809, 112.074, 109.481, 105.42, 93.882]"
2060,"[122.554, 110.787, 110.054, 108.699, 107.326, 95.699]"
2061,"[118.457, 114.809, 112.074, 109.481, 105.42, 93.882]"
2062,"[126.129, 117.213, 113.291, 105.652, 93.951, 89.559]"
2063,"[122.554, 110.787, 110.054, 108.699, 107.326, 95.699]"
2064,"[111.518, 111.242, 110.17, 108.723, 108.216, 106.948]"
2065,"[110.91, 110.91, 110.91, 110.904, 106.637, 106.631]"
2066,"[140.57, 122.33, 122.127, 95.164, 91.249, 81.425]"
2067,"[126.977, 126.977, 114.274, 95.682, 95.682, 89.307]"
2068,"[124.66, 124.66, 116.936, 96.361, 93.021, 93.021]"
2069,"[124.298, 122.154, 112.886, 98.442, 97.221, 96.436]"
2070,"[121.044, 121.044, 113.185, 103.321, 96.54, 96.54]"
2076,"[111.888, 111.358, 110.953, 109.883, 109.329, 103.274]"
2078,"[110.53, 110.5, 110.5, 109.196, 109.196, 106.864]"
2084,"[115.119, 112.563, 110.689, 110.133, 105.831, 102.556]"
2095,"[115.296, 114.318, 109.226, 107.764, 107.752, 102.533]"
2096,"[113.135, 111.913, 110.646, 108.844, 106.786, 105.432]"
2097,"[122.473, 122.473, 118.411, 99.155, 99.155, 88.814]"
2098,"[124.632, 124.632, 112.588, 98.453, 94.52, 94.52]"
2100,"[121.695, 121.695, 120.851, 101.157, 101.157, 82.311]"
2101,"[125.331, 125.331, 117.181, 96.563, 96.563, 88.224]"
2102,"[128.192, 120.478, 120.478, 93.532, 93.532, 91.702]"
2103,"[128.28, 128.105, 110.751, 95.664, 94.445, 89.244]"
2104,"[115.227, 115.227, 109.548, 105.98, 105.98, 104.093]"
2105,"[121.453, 121.453, 117.465, 117.465, 92.551, 89.353]"
2112,"[119.545, 111.728, 110.029, 106.948, 105.48, 101.443]"
2113,"[118.725, 111.291, 111.235, 106.362, 105.135, 103.05]"
2114,"[112.638, 110.139, 110.139, 109.779, 109.779, 104.022]"
2118,"[160.136, 149.452, 123.285, 87.26, 76.573, 72.878]"
2121,"[146.088, 102.68, 102.68, 101.432, 101.432, 88.344]"
2124,"[148.881, 102.474, 102.474, 99.195, 99.195, 89.765]"
2125,"[113.397, 113.397, 111.205, 110.824, 110.824, 96.39]"
2126,"[103.533, 103.533, 103.533, 65.096, 65.096, 65.096]"
2129,"[113.566, 113.566, 113.566, 113.559, 101.566, 101.56]"
2130,"[113.541, 113.541, 113.541, 113.534, 101.613, 101.607]"
2131,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2132,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2138,"[133.149, 133.149, 103.857, 102.275, 102.269, 86.755]"
2140,"[112.718, 111.321, 111.315, 111.198, 105.218, 105.213]"
2141,"[122.902, 116.532, 112.65, 103.003, 99.869, 95.515]"
2142,"[115.429, 111.057, 109.226, 108.911, 107.59, 103.987]"
2143,"[128.083, 118.132, 110.115, 102.721, 100.236, 90.384]"
2147,"[119.275, 113.653, 112.228, 110.763, 102.099, 97.637]"
2149,"[123.1, 116.455, 112.476, 103.021, 99.863, 95.601]"
2150,"[115.182, 111.057, 109.299, 109.032, 107.596, 104.075]"
2151,"[128.105, 118.028, 110.182, 102.821, 100.009, 90.613]"
2155,"[119.281, 113.791, 112.105, 110.64, 102.263, 97.545]"
2157,"[123.134, 116.289, 112.47, 103.315, 99.799, 95.612]"
2158,"[115.309, 111.027, 109.402, 108.82, 107.5, 104.182]"
2159,"[127.916, 117.956, 110.432, 102.944, 99.863, 90.785]"
2163,"[119.111, 113.797, 112.123, 110.8, 102.24, 97.545]"
2167,"[118.62, 110.702, 110.029, 106.672, 105.777, 104.732]"
2168,"[113.559, 111.543, 110.261, 108.089, 106.762, 106.613]"
2178,"[112.973, 112.967, 112.93, 109.944, 109.938, 97.117]"
2179,"[120.451, 120.451, 107.656, 107.65, 107.098, 94.037]"
2180,"[122.093, 110.904, 110.904, 108.415, 108.409, 91.977]"
2181,"[153.1, 124.52, 124.52, 98.297, 74.793, 74.787]"
2182,"[132.625, 132.617, 131.102, 131.102, 70.452, 70.452]"
2183,"[153.1, 124.52, 124.52, 98.297, 74.793, 74.787]"
2187,"[113.716, 113.716, 107.398, 107.392, 107.392, 107.386]"
2189,"[113.641, 113.641, 107.428, 107.428, 107.428, 107.428]"
2190,"[113.785, 113.785, 107.362, 107.362, 107.362, 107.356]"
2191,"[113.785, 113.785, 107.362, 107.362, 107.362, 107.356]"
2192,"[113.785, 113.785, 107.362, 107.362, 107.362, 107.356]"
2193,"[124.667, 112.006, 111.574, 108.337, 102.034, 94.025]"
2194,"[124.778, 111.192, 108.482, 104.537, 103.916, 102.357]"
2195,"[124.778, 111.192, 108.482, 104.537, 103.916, 102.357]"
2196,"[124.667, 112.006, 111.574, 108.337, 102.034, 94.025]"
2199,"[120.817, 119.472, 111.088, 103.374, 102.862, 95.29]"
2200,"[117.6, 114.444, 113.822, 109.111, 104.88, 96.979]"
2201,"[118.908, 116.801, 111.623, 108.005, 106.643, 90.372]"
2202,"[118.908, 116.801, 111.623, 108.005, 106.643, 90.372]"
2203,"[117.6, 114.444, 113.822, 109.111, 104.88, 96.979]"
2204,"[133.956, 112.923, 107.092, 104.691, 103.674, 90.046]"
2205,"[117.452, 112.998, 110.898, 107.344, 107.056, 99.677]"
2206,"[111.358, 111.334, 111.321, 107.536, 107.536, 107.53]"
2207,"[155.937, 114.967, 108.506, 102.78, 91.776, 80.718]"
2214,"[109.98, 109.974, 109.968, 108.984, 108.966, 108.941]"
2215,"[114.048, 110.506, 109.846, 108.796, 107.476, 105.795]"
2216,"[115.55, 110.984, 110.286, 108.615, 107.83, 103.256]"
2218,"[113.778, 113.116, 110.304, 108.433, 106.852, 104.075]"
2221,"[166.931, 147.214, 121.004, 91.782, 75.143, 72.073]"
2223,"[150.692, 101.947, 101.947, 99.265, 99.265, 85.555]"
2225,"[142.608, 104.981, 104.981, 100.725, 100.725, 90.768]"
2237,"[117.536, 111.291, 109.968, 108.445, 105.165, 104.028]"
2238,"[112.836, 110.83, 110.646, 108.494, 107.2, 106.786]"
2240,"[112.811, 112.65, 110.255, 108.596, 106.469, 105.867]"
2248,"[150.343, 116.289, 112.204, 97.938, 92.27, 74.318]"
2250,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2251,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2252,"[111.192, 111.186, 111.186, 107.698, 107.692, 107.692]"
2253,"[113.434, 112.03, 109.846, 107.824, 107.224, 106.547]"
2254,"[117.678, 110.744, 110.512, 106.75, 105.539, 105.474]"
2263,"[140.193, 113.503, 110.548, 100.789, 95.595, 84.445]"
2264,"[138.72, 113.079, 112.42, 101.175, 98.007, 83.529]"
2265,"[133.071, 122.446, 101.514, 99.858, 97.389, 90.115]"
2267,"[136.228, 116.84, 112.489, 101.438, 97.764, 85.25]"
2268,"[132.594, 119.69, 112.538, 104.726, 97.4, 84.261]"
2269,"[130.098, 118.385, 105.468, 101.262, 101.14, 95.659]"
2271,"[122.997, 118.106, 110.787, 108.917, 104.401, 85.176]"
2272,"[122.724, 121.945, 114.356, 107.77, 94.198, 89.032]"
2277,"[111.125, 110.763, 110.121, 110.017, 107.446, 107.266]"
2283,"[115.525, 114.098, 114.098, 105.474, 105.474, 100.044]"
2284,"[113.603, 113.478, 113.478, 106.415, 106.415, 102.245]"
2285,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2286,"[111.864, 111.864, 111.858, 106.96, 106.96, 106.96]"
2292,"[116.789, 114.645, 110.996, 109.445, 105.26, 98.164]"
2294,"[123.415, 117.62, 106.9, 102.797, 101.297, 100.638]"
2295,"[131.675, 113.197, 107.915, 104.543, 96.979, 95.854]"
2297,"[111.414, 111.414, 109.214, 109.032, 109.032, 106.726]"
2298,"[112.693, 112.693, 109.871, 109.402, 106.147, 106.147]"
2315,"[114.689, 110.237, 110.231, 109.579, 109.579, 101.748]"
2316,"[130.436, 129.829, 114.217, 97.84, 88.172, 84.537]"
2322,"[115.214, 115.208, 112.513, 106.792, 106.792, 98.592]"
2323,"[116.391, 113.71, 113.703, 108.59, 101.233, 101.233]"
2324,"[117.142, 113.191, 113.185, 107.806, 107.806, 95.06]"
2325,"[180.0, 180.0, 101.18, 101.18, 78.82, 78.82]"
2332,"[111.365, 111.033, 110.634, 108.844, 108.421, 106.368]"
2333,"[111.389, 109.676, 109.603, 109.22, 108.851, 108.035]"
2334,"[111.876, 109.761, 109.299, 109.093, 108.766, 107.969]"
2357,"[115.094, 112.012, 109.002, 107.086, 106.84, 106.595]"
2358,"[112.179, 111.901, 111.5, 109.451, 106.559, 105.112]"
2359,"[114.362, 112.855, 111.26, 107.65, 106.625, 104.064]"
2363,"[120.984, 120.984, 104.04, 104.04, 104.04, 104.04]"
2364,"[153.483, 99.126, 99.126, 99.126, 99.126, 92.499]"
2368,"[112.526, 109.129, 109.129, 109.129, 109.129, 107.668]"
2369,"[140.435, 122.087, 108.47, 106.016, 93.658, 89.782]"
2370,"[112.526, 109.129, 109.129, 109.129, 109.129, 107.668]"
2371,"[109.822, 109.822, 109.822, 109.822, 108.772, 108.772]"
2372,"[112.476, 109.117, 109.117, 109.117, 109.117, 107.788]"
2373,"[112.476, 109.117, 109.117, 109.117, 109.117, 107.788]"
2374,"[109.749, 109.749, 109.749, 109.749, 108.917, 108.917]"
2375,"[141.619, 132.152, 114.035, 97.788, 83.189, 82.588]"
2381,"[112.148, 110.904, 109.993, 108.361, 107.957, 107.404]"
2382,"[113.116, 113.11, 112.762, 107.29, 105.302, 105.302]"
2383,"[125.761, 120.331, 120.331, 97.984, 97.984, 85.279]"
2384,"[126.655, 120.631, 120.631, 93.859, 93.859, 92.981]"
2385,"[130.128, 128.462, 112.464, 95.026, 92.614, 86.095]"
2386,"[117.149, 110.115, 110.115, 107.182, 107.182, 104.276]"
2387,"[113.141, 113.141, 113.023, 106.433, 106.433, 103.951]"
2390,"[112.086, 112.086, 111.814, 110.212, 110.212, 99.846]"
2392,"[123.511, 122.65, 122.643, 94.382, 92.682, 92.682]"
2393,"[129.837, 125.275, 111.174, 96.183, 95.198, 89.536]"
2394,"[115.144, 112.65, 112.644, 105.64, 105.64, 104.205]"
2395,"[109.5, 109.487, 109.487, 109.475, 109.457, 109.421]"
2396,"[109.512, 109.494, 109.481, 109.451, 109.445, 109.445]"
2397,"[109.536, 109.481, 109.481, 109.451, 109.451, 109.427]"
2410,"[109.518, 109.475, 109.469, 109.469, 109.451, 109.445]"
2411,"[109.53, 109.512, 109.5, 109.439, 109.433, 109.415]"
2420,"[111.981, 111.981, 111.981, 111.975, 104.56, 104.56]"
2421,"[114.217, 114.211, 114.211, 114.211, 100.358, 100.352]"
2422,"[114.217, 114.211, 114.211, 114.211, 100.358, 100.352]"
2424,"[115.233, 113.785, 108.978, 106.589, 106.212, 105.266]"
2425,"[122.922, 108.156, 108.156, 105.92, 105.92, 104.259]"
2426,"[116.956, 116.257, 113.76, 106.344, 101.718, 99.509]"
2427,"[117.613, 117.613, 113.397, 105.414, 100.026, 100.02]"
2428,"[111.057, 111.057, 110.892, 109.469, 107.098, 107.098]"
2429,"[110.898, 110.824, 110.824, 108.192, 107.987, 107.987]"
2430,"[116.283, 115.734, 112.334, 111.753, 105.759, 92.734]"
2431,"[117.4, 115.195, 114.362, 109.044, 101.49, 98.395]"
2432,"[120.099, 112.222, 108.337, 106.535, 106.368, 102.122]"
2446,"[125.627, 114.305, 113.541, 105.42, 104.205, 83.391]"
2447,"[133.773, 117.387, 112.358, 107.14, 93.021, 79.455]"
2448,"[120.697, 115.69, 105.213, 105.046, 104.756, 103.987]"
2462,"[125.627, 114.305, 113.541, 105.42, 104.205, 83.391]"
2463,"[133.773, 117.387, 112.358, 107.14, 93.021, 79.455]"
2464,"[120.697, 115.69, 105.213, 105.046, 104.756, 103.987]"
2465,"[115.163, 115.163, 114.633, 107.344, 102.392, 102.392]"
2468,"[115.056, 115.056, 112.594, 112.42, 101.169, 101.169]"
2471,"[115.056, 115.056, 112.594, 112.42, 101.169, 101.169]"
2472,"[109.475, 109.475, 109.475, 109.475, 109.469, 109.469]"
2476,"[124.757, 124.757, 120.478, 93.744, 92.069, 92.069]"
2477,"[127.828, 127.821, 124.007, 124.007, 93.342, 62.07]"
2478,"[175.003, 109.16, 109.16, 101.204, 73.752, 73.752]"
2479,"[159.196, 129.427, 126.906, 99.48, 65.575, 61.615]"
2481,"[109.591, 109.591, 109.585, 109.372, 109.342, 109.342]"
2486,"[111.149, 111.143, 111.143, 111.143, 106.177, 106.177]"
2487,"[113.691, 113.691, 113.691, 113.691, 101.327, 101.321]"
2488,"[113.691, 113.691, 113.691, 113.691, 101.327, 101.321]"
2489,"[122.507, 107.506, 107.506, 106.135, 106.135, 105.992]"
2490,"[115.989, 115.081, 114.192, 109.834, 106.248, 94.439]"
2491,"[122.507, 107.506, 107.506, 106.135, 106.135, 105.992]"
2492,"[129.153, 115.246, 115.246, 97.256, 97.256, 79.502]"
2493,"[114.324, 112.874, 112.874, 108.162, 103.904, 103.904]"
2494,"[116.647, 114.029, 114.029, 104.412, 104.412, 100.865]"
2495,"[119.795, 115.671, 110.953, 106.045, 105.533, 96.091]"
2496,"[124.368, 106.786, 106.786, 106.266, 106.266, 104.874]"
2497,"[113.973, 113.973, 112.83, 110.5, 102.087, 102.087]"
2498,"[124.125, 117.827, 116.558, 109.573, 96.575, 83.909]"
2499,"[121.877, 121.877, 111.02, 103.963, 96.114, 96.114]"
2500,"[111.759, 111.759, 111.131, 108.258, 108.258, 105.397]"
2501,"[115.804, 114.993, 113.441, 111.833, 105.73, 93.652]"
2502,"[121.581, 109.56, 109.56, 105.652, 105.652, 103.121]"
2505,"[112.03, 112.03, 110.096, 108.005, 108.005, 106.451]"
2506,"[119.914, 115.728, 110.812, 106.022, 105.533, 96.079]"
2507,"[124.236, 106.876, 106.876, 106.284, 106.284, 104.785]"
2508,"[111.858, 111.851, 111.002, 108.246, 108.246, 105.355]"
2509,"[111.858, 111.851, 111.002, 108.246, 108.246, 105.355]"
2511,"[114.161, 114.161, 110.188, 107.032, 107.032, 103.55]"
2512,"[114.161, 114.161, 110.188, 107.032, 107.032, 103.55]"
2513,"[122.554, 107.47, 107.47, 106.171, 106.171, 105.914]"
2514,"[129.176, 115.233, 115.233, 97.244, 97.244, 79.49]"
2515,"[122.554, 107.47, 107.47, 106.171, 106.171, 105.914]"
2516,"[114.261, 112.811, 112.811, 108.24, 103.969, 103.963]"
2517,"[114.261, 112.811, 112.811, 108.24, 103.969, 103.963]"
2518,"[116.692, 114.048, 114.042, 104.371, 104.371, 100.836]"
2519,"[115.925, 111.02, 110.279, 108.415, 106.302, 104.78]"
2520,"[113.528, 110.518, 110.176, 108.144, 107.921, 106.535]"
2540,"[112.569, 110.971, 110.267, 109.682, 109.506, 103.674]"
2541,"[111.531, 110.726, 110.646, 110.218, 109.506, 104.016]"
2542,"[114.696, 114.689, 110.506, 110.5, 103.415, 103.415]"
2543,"[112.501, 111.907, 109.743, 109.743, 106.517, 106.517]"
2544,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2549,"[162.882, 96.632, 96.627, 95.02, 95.014, 94.089]"
2550,"[167.796, 95.411, 95.411, 93.073, 93.073, 91.748]"
2551,"[157.957, 99.044, 97.504, 97.504, 96.759, 96.759]"
2556,"[161.842, 96.598, 96.598, 95.636, 95.636, 95.014]"
2557,"[168.843, 94.594, 94.594, 93.262, 93.262, 90.458]"
2558,"[157.82, 98.418, 97.412, 97.412, 97.025, 97.025]"
2560,"[168.55, 93.997, 93.997, 93.997, 93.997, 91.358]"
2562,"[112.154, 111.963, 110.542, 110.218, 107.83, 103.733]"
2566,"[112.185, 111.919, 111.913, 111.475, 106.469, 102.427]"
2569,"[113.191, 112.148, 110.671, 110.414, 105.355, 105.171]"
2571,"[112.923, 112.818, 110.91, 109.19, 107.074, 104.022]"
2573,"[142.542, 122.84, 122.161, 105.891, 97.574, 67.114]"
2574,"[135.923, 116.11, 112.049, 107.704, 95.377, 88.476]"
2575,"[146.94, 145.055, 103.162, 97.735, 90.052, 88.608]"
2576,"[117.924, 114.854, 113.516, 108.76, 106.421, 94.715]"
2577,"[133.606, 131.193, 107.116, 100.737, 95.187, 93.635]"
2586,"[126.798, 122.984, 117.091, 113.872, 89.742, 79.257]"
2605,"[131.338, 130.376, 115.468, 106.756, 91.392, 78.293]"
2608,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2609,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2610,"[127.77, 114.98, 112.507, 105.308, 103.851, 83.806]"
2615,"[127.38, 115.449, 111.777, 105.058, 104.827, 83.921]"
2620,"[125.732, 115.442, 112.669, 105.349, 105.308, 85.009]"
2625,"[126.214, 114.5, 113.216, 105.944, 104.803, 84.457]"
2627,"[126.748, 114.054, 113.403, 106.535, 103.727, 84.37]"
2629,"[126.956, 114.104, 113.441, 106.547, 103.556, 84.025]"
2636,"[119.367, 112.867, 111.002, 109.214, 104.839, 98.586]"
2641,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2642,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2643,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2644,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2645,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2646,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2647,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2648,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2649,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2650,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2651,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2652,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2653,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2654,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2655,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2656,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2657,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2658,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2659,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2660,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2661,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2662,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2663,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2664,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2665,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2666,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2667,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
2668,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2669,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
2670,"[115.601, 114.023, 108.905, 107.038, 105.736, 104.744]"
2671,"[113.503, 112.675, 108.96, 107.71, 106.876, 106.804]"
2672,"[121.601, 109.044, 108.76, 107.254, 105.082, 103.892]"
2673,"[111.309, 110.542, 110.451, 109.463, 108.391, 106.577]"
2674,"[111.309, 110.542, 110.451, 109.463, 108.391, 106.577]"
2675,"[113.522, 113.522, 113.085, 106.195, 106.195, 103.491]"
2676,"[113.609, 113.609, 112.0, 106.744, 106.744, 103.45]"
2677,"[113.985, 112.228, 112.228, 106.93, 106.93, 103.851]"
2678,"[113.16, 112.88, 112.88, 106.493, 106.493, 104.247]"
2679,"[135.651, 125.226, 106.72, 106.589, 97.233, 89.433]"
2680,"[114.287, 108.875, 108.875, 108.875, 108.875, 106.792]"
2681,"[109.694, 109.694, 109.694, 109.694, 109.026, 109.026]"
2682,"[114.287, 108.875, 108.875, 108.875, 108.875, 106.792]"
2683,"[123.312, 119.308, 111.438, 104.495, 100.486, 92.39]"
2684,"[120.04, 120.04, 104.732, 104.732, 103.421, 101.876]"
2685,"[113.447, 113.447, 112.253, 106.242, 105.278, 105.278]"
2700,"[119.498, 113.722, 109.621, 108.566, 104.934, 100.312]"
2701,"[115.722, 115.556, 110.469, 108.421, 105.367, 101.666]"
2702,"[115.69, 113.528, 108.966, 107.506, 105.837, 104.72]"
2711,"[121.185, 110.892, 109.743, 108.615, 107.392, 95.981]"
2716,"[123.319, 123.319, 120.471, 97.221, 97.221, 87.507]"
2717,"[126.763, 121.453, 121.453, 93.13, 93.13, 92.057]"
2718,"[128.888, 127.459, 110.934, 95.319, 94.853, 88.814]"
2719,"[113.297, 113.297, 113.091, 106.386, 106.386, 103.615]"
2724,"[123.271, 123.271, 120.431, 97.314, 97.314, 87.501]"
2725,"[126.884, 121.386, 121.386, 93.17, 93.17, 91.977]"
2726,"[128.822, 127.459, 110.885, 95.342, 94.962, 88.785]"
2727,"[113.316, 113.316, 113.06, 106.445, 106.445, 103.474]"
2728,"[123.34, 123.34, 120.631, 97.106, 97.106, 87.449]"
2729,"[126.577, 121.493, 121.493, 93.239, 93.239, 91.983]"
2730,"[128.69, 127.539, 110.971, 95.233, 94.928, 88.934]"
2731,"[113.403, 113.397, 113.278, 106.236, 106.23, 103.468]"
2732,"[119.782, 118.908, 118.908, 99.73, 99.73, 85.796]"
2735,"[149.587, 103.615, 103.615, 96.857, 96.857, 89.072]"
2737,"[149.305, 102.281, 102.281, 99.184, 99.184, 89.45]"
2738,"[110.836, 110.487, 109.907, 109.093, 108.409, 108.041]"
2739,"[123.724, 116.2, 105.92, 105.403, 104.768, 97.013]"
2740,"[123.271, 111.987, 109.658, 108.899, 106.04, 92.556]"
2741,"[123.484, 113.828, 108.572, 106.954, 105.789, 94.077]"
2742,"[124.222, 117.413, 105.629, 105.581, 104.543, 94.876]"
2743,"[110.947, 110.048, 109.226, 109.22, 108.905, 108.463]"
2744,"[115.043, 108.602, 108.258, 108.258, 108.258, 108.258]"
2745,"[115.043, 108.602, 108.258, 108.258, 108.258, 108.258]"
2746,"[111.069, 111.069, 108.681, 108.681, 108.681, 108.681]"
2755,"[113.71, 111.389, 110.83, 109.506, 106.756, 104.702]"
2756,"[112.303, 112.111, 112.0, 111.027, 105.819, 103.038]"
2757,"[117.277, 117.277, 113.647, 113.647, 98.355, 97.811]"
2758,"[124.918, 124.918, 121.823, 121.816, 84.353, 84.203]"
2765,"[110.965, 110.898, 109.688, 109.214, 108.337, 107.686]"
2766,"[110.781, 110.591, 110.005, 109.895, 108.023, 107.554]"
2767,"[116.898, 116.898, 114.582, 114.576, 97.591, 97.545]"
2768,"[124.167, 124.167, 122.168, 122.161, 85.394, 83.817]"
2775,"[111.716, 110.879, 109.554, 108.669, 108.409, 107.548]"
2776,"[111.143, 110.591, 110.304, 110.194, 107.704, 106.93]"
2777,"[117.207, 117.2, 114.211, 114.211, 98.059, 97.198]"
2778,"[124.486, 124.479, 121.911, 121.904, 84.992, 84.14]"
2785,"[111.18, 110.824, 109.597, 109.123, 109.093, 106.978]"
2786,"[110.793, 110.702, 110.17, 109.962, 108.192, 107.032]"
2787,"[123.004, 123.004, 121.305, 97.256, 97.256, 86.991]"
2788,"[126.834, 121.292, 121.292, 93.405, 93.405, 91.782]"
2789,"[129.094, 127.207, 110.591, 95.279, 95.008, 88.98]"
2790,"[113.766, 113.06, 113.06, 106.427, 106.427, 103.268]"
2791,"[150.031, 147.512, 92.935, 92.935, 79.671, 79.671]"
2792,"[180.0, 165.061, 97.47, 97.47, 82.53, 82.53]"
2793,"[175.137, 170.61, 90.201, 90.201, 90.201, 90.201]"
2799,"[115.779, 110.048, 108.633, 108.162, 107.482, 106.666]"
2804,"[122.718, 118.125, 117.348, 101.748, 99.683, 95.607]"
2805,"[121.52, 113.979, 110.867, 107.638, 105.825, 94.02]"
2806,"[121.399, 116.686, 115.144, 106.344, 95.768, 93.555]"
2807,"[120.238, 115.404, 110.255, 109.075, 104.602, 94.37]"
2808,"[121.958, 120.424, 115.138, 104.957, 90.183, 89.926]"
2809,"[115.499, 114.582, 110.977, 109.16, 104.247, 101.18]"
2810,"[118.411, 109.323, 109.16, 107.506, 106.559, 105.623]"
2811,"[122.554, 118.79, 117.905, 100.271, 96.24, 95.751]"
2814,"[123.031, 122.263, 113.91, 99.178, 96.436, 96.189]"
2817,"[115.664, 114.626, 110.8, 108.984, 104.353, 101.221]"
2818,"[118.249, 109.244, 109.238, 107.548, 106.666, 105.652]"
2819,"[122.738, 118.764, 117.995, 100.247, 96.16, 95.492]"
2822,"[122.799, 121.972, 114.161, 99.311, 96.621, 96.292]"
2825,"[115.499, 115.22, 110.292, 108.705, 104.501, 101.443]"
2826,"[118.346, 108.929, 108.645, 107.86, 106.864, 105.914]"
2827,"[123.333, 118.301, 117.736, 100.585, 95.964, 95.348]"
2830,"[122.772, 122.31, 114.255, 98.836, 97.008, 95.923]"
2833,"[116.417, 114.494, 110.279, 108.385, 104.625, 101.373]"
2834,"[117.232, 109.627, 108.101, 107.921, 106.96, 106.678]"
2838,"[122.378, 121.715, 113.029, 99.021, 98.807, 96.904]"
2841,"[115.315, 113.534, 111.605, 109.075, 104.543, 101.59]"
2842,"[122.772, 117.93, 115.087, 100.387, 98.714, 97.562]"
2845,"[115.499, 113.023, 111.839, 108.99, 104.531, 101.783]"
2846,"[122.602, 117.976, 115.728, 100.125, 98.963, 97.013]"
2849,"[110.849, 110.634, 109.342, 108.784, 108.778, 108.451]"
2869,"[119.683, 113.441, 112.731, 105.07, 103.45, 100.247]"
2870,"[119.446, 113.81, 112.575, 105.706, 102.627, 100.556]"
2886,"[122.561, 113.129, 112.675, 107.11, 99.497, 98.32]"
2887,"[123.787, 121.038, 106.619, 104.117, 101.274, 95.797]"
2888,"[115.005, 114.393, 108.113, 107.53, 107.248, 104.105]"
2889,"[114.942, 109.099, 109.093, 109.069, 109.069, 105.106]"
2890,"[114.073, 109.889, 109.214, 109.153, 108.941, 105.189]"
2896,"[133.11, 133.11, 111.051, 107.68, 89.112, 89.112]"
2903,"[131.959, 131.959, 111.094, 108.693, 89.479, 89.479]"
2909,"[131.583, 131.583, 112.006, 108.011, 89.633, 89.633]"
2915,"[130.92, 130.92, 112.613, 107.542, 90.046, 90.046]"
2921,"[131.109, 131.109, 111.796, 106.78, 90.647, 90.647]"
2927,"[120.824, 120.824, 114.961, 99.829, 99.829, 89.1]"
2928,"[114.362, 112.936, 112.569, 107.524, 106.308, 103.032]"
2929,"[113.847, 111.555, 111.555, 109.664, 105.147, 105.147]"
2933,"[115.569, 111.654, 111.235, 110.622, 104.472, 102.369]"
