,Angles
273,"[114.57, 112.47, 109.36, 109.002, 107.11, 103.946]"
277,"[116.507, 114.639, 110.928, 105.95, 105.7, 103.173]"
279,"[133.0, 107.752, 105.373, 103.032, 102.932, 100.073]"
294,"[114.841, 112.476, 109.95, 108.675, 106.308, 104.075]"
304,"[115.677, 112.687, 112.687, 108.584, 102.991, 102.991]"
306,"[113.409, 113.403, 113.403, 105.278, 105.272, 105.254]"
307,"[137.902, 109.676, 107.314, 106.475, 102.985, 86.273]"
308,"[130.511, 117.303, 110.842, 105.771, 101.648, 86.709]"
309,"[111.839, 111.833, 111.833, 106.99, 106.99, 106.99]"
325,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
326,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
327,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
328,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
329,"[140.66, 132.253, 114.778, 99.491, 84.577, 81.582]"
336,"[110.812, 110.487, 110.151, 109.889, 108.518, 106.984]"
337,"[113.048, 111.642, 111.629, 107.05, 106.684, 106.684]"
338,"[142.495, 132.446, 113.597, 98.807, 83.765, 80.921]"
345,"[111.119, 111.027, 110.512, 109.664, 107.446, 107.104]"
346,"[113.948, 111.82, 111.814, 106.487, 106.487, 106.081]"
351,"[121.763, 121.151, 118.08, 99.811, 96.067, 93.957]"
352,"[121.373, 121.118, 117.697, 100.16, 96.65, 94.054]"
353,"[114.626, 112.724, 109.063, 108.729, 107.374, 103.957]"
354,"[116.302, 109.938, 109.664, 107.17, 106.846, 106.828]"
359,"[121.749, 120.944, 117.768, 100.009, 96.217, 94.295]"
360,"[121.373, 121.138, 117.471, 100.376, 96.707, 93.997]"
361,"[114.387, 112.899, 109.002, 108.361, 107.764, 104.111]"
362,"[116.257, 110.029, 109.591, 107.572, 106.876, 106.386]"
367,"[121.85, 120.877, 117.49, 99.84, 96.373, 94.64]"
368,"[121.299, 121.131, 117.73, 100.253, 96.598, 94.037]"
369,"[115.005, 112.7, 108.844, 108.216, 107.83, 103.916]"
370,"[115.811, 110.127, 108.602, 108.331, 107.578, 106.195]"
371,"[121.018, 120.931, 117.277, 100.399, 96.759, 94.985]"
374,"[115.087, 111.635, 108.609, 108.391, 108.053, 104.827]"
379,"[122.08, 121.857, 118.587, 97.926, 95.123, 94.916]"
380,"[122.738, 121.145, 118.255, 98.413, 95.198, 94.79]"
381,"[114.551, 113.004, 108.216, 108.186, 108.12, 104.448]"
382,"[116.021, 110.023, 109.846, 107.224, 107.038, 106.595]"
387,"[121.769, 121.756, 118.223, 98.042, 95.716, 95.261]"
388,"[122.425, 121.171, 118.21, 98.401, 95.394, 95.083]"
389,"[114.891, 112.681, 108.439, 108.083, 108.077, 104.371]"
390,"[115.633, 110.579, 108.996, 107.891, 107.422, 106.153]"
391,"[122.06, 121.138, 118.021, 98.193, 95.877, 95.653]"
394,"[115.037, 111.901, 108.355, 108.132, 108.126, 105.017]"
395,"[121.978, 121.212, 117.697, 98.459, 96.016, 95.653]"
398,"[115.182, 111.858, 108.578, 108.15, 107.957, 104.874]"
403,"[121.897, 121.433, 119.505, 96.996, 96.552, 94.14]"
404,"[122.575, 121.272, 119.314, 97.279, 96.361, 93.514]"
405,"[115.075, 111.537, 108.566, 108.463, 108.349, 104.59]"
406,"[116.11, 109.421, 109.342, 107.638, 107.374, 106.828]"
407,"[121.83, 120.837, 119.61, 97.163, 96.8, 94.474]"
410,"[115.233, 110.646, 108.76, 108.578, 108.252, 105.147]"
415,"[122.759, 121.366, 119.98, 98.557, 96.419, 91.049]"
416,"[123.025, 121.098, 119.861, 98.691, 96.506, 90.739]"
417,"[122.718, 112.973, 109.913, 109.141, 107.104, 92.906]"
418,"[116.085, 111.445, 108.609, 107.728, 107.014, 106.028]"
423,"[122.677, 121.393, 120.119, 98.575, 96.304, 91.026]"
424,"[123.031, 121.044, 119.769, 98.783, 96.506, 90.825]"
425,"[115.056, 110.133, 110.078, 109.105, 107.056, 105.385]"
426,"[116.059, 111.242, 108.675, 107.873, 106.714, 106.326]"
431,"[122.752, 121.171, 120.146, 98.604, 96.286, 91.152]"
432,"[122.868, 120.971, 120.119, 98.656, 96.598, 90.762]"
433,"[115.132, 110.17, 110.011, 108.917, 107.122, 105.462]"
434,"[115.773, 111.18, 108.875, 108.029, 106.637, 106.398]"
439,"[122.745, 120.431, 120.404, 98.685, 96.759, 91.186]"
440,"[122.854, 120.657, 120.557, 98.575, 96.552, 90.819]"
441,"[115.157, 110.402, 109.737, 108.772, 107.008, 105.765]"
442,"[115.849, 110.757, 109.008, 108.27, 106.511, 106.463]"
