,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
6458,35169.cif,Li1+:8.000 O2-:8.000 Si4+:2.000,Li2,4.0,1,2,1,0.01,"[119.065, 119.065, 116.276, 104.91, 104.91, 83.863]"
6459,35169.cif,Li1+:8.000 O2-:8.000 Si4+:2.000,Li1,4.0,1,2,1,0.017,"[116.015, 114.45, 112.973, 108.391, 102.733, 101.882]"
6460,35169.cif,Li1+:8.000 O2-:8.000 Si4+:2.000,Si1,4.0,4,3,4,0.006,"[110.396, 109.816, 109.251, 109.251, 109.063, 109.063]"
6470,35275.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Al1,4.0,3,3,3,0.014,"[113.091, 112.762, 110.61, 110.579, 105.207, 104.152]"
6475,35276.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Al1,4.0,3,3,3,0.015,"[113.048, 112.799, 110.524, 110.524, 105.343, 104.164]"
6480,35277.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Al1,4.0,3,3,3,0.014,"[112.942, 112.78, 110.536, 110.396, 105.48, 104.294]"
6485,35290.cif,Ga3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Ga1,4.0,3,4,3,0.023,"[114.419, 114.086, 111.229, 106.278, 104.945, 104.874]"
6486,35290.cif,Ga3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li1,4.0,1,2,1,0.025,"[127.25, 125.789, 115.97, 99.544, 96.108, 92.654]"
6487,35290.cif,Ga3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li2,4.0,1,2,1,0.046,"[123.952, 122.759, 120.046, 102.216, 99.753, 87.386]"
6488,35290.cif,Ga3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li3,4.0,1,2,1,0.027,"[127.799, 121.776, 108.76, 105.474, 102.709, 92.172]"
6491,35655.cif,Cs1+:4.000 I1-:10.000 Li1+:6.000,Li2,4.0,1,2,1,0.001,"[118.073, 109.251, 109.251, 107.722, 107.722, 103.875]"
6492,35768.cif,Fe3+:20.000 Li1+:4.000 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
6493,35769.cif,Fe3+:20.000 Li1+:4.000 O2-:32.000,Fe2,4.0,3,4,8,0.026,"[109.834, 109.834, 109.834, 109.105, 109.105, 109.105]"
6494,35769.cif,Fe3+:20.000 Li1+:4.000 O2-:32.000,O1,4.0,-2,2,6,0.084,"[123.134, 123.134, 123.134, 92.969, 92.969, 92.969]"
6495,35769.cif,Fe3+:20.000 Li1+:4.000 O2-:32.000,O2,4.0,-2,2,6,0.194,"[124.465, 124.423, 120.491, 97.811, 90.923, 89.261]"
6496,36038.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,0.003,"[113.822, 113.803, 113.797, 104.685, 104.679, 104.679]"
6499,36038.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,0.023,"[109.846, 109.834, 109.822, 109.111, 109.105, 109.105]"
6500,36216.cif,Cl1-:8.000 Li1+:4.000 Rb1+:4.000,Li1,4.0,1,2,1,0.011,"[117.704, 109.323, 109.323, 109.323, 109.323, 100.445]"
6501,36470.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,0.0,"[114.778, 114.765, 114.753, 103.444, 103.444, 103.444]"
6504,36470.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,0.009,"[109.786, 109.779, 109.779, 109.172, 109.16, 109.141]"
6505,36471.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,0.011,"[113.484, 113.466, 113.459, 105.1, 105.094, 105.094]"
6508,36471.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,0.018,"[109.773, 109.773, 109.767, 109.19, 109.172, 109.153]"
6509,36472.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,0.007,"[114.835, 114.809, 114.809, 103.38, 103.374, 103.374]"
6512,36472.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,0.069,"[110.555, 110.548, 110.548, 108.385, 108.373, 108.355]"
6515,36531.cif,B3+:4.000 Cs1+:6.000 Li1+:4.000 Na1+:2.000 O2-:12.000,Li1,4.0,1,2,1,0.009,"[139.008, 131.644, 126.662, 119.802, 75.143, 74.336]"
6516,36531.cif,B3+:4.000 Cs1+:6.000 Li1+:4.000 Na1+:2.000 O2-:12.000,Li2,4.0,1,2,1,0.018,"[138.616, 134.846, 126.62, 118.171, 75.38, 73.62]"
6517,36532.cif,Cs1+:4.000 Ge4+:2.000 Li1+:4.000 O2-:8.000,Ge1,4.0,4,4,4,0.04,"[114.287, 113.085, 111.87, 110.328, 104.407, 102.462]"
6518,36532.cif,Cs1+:4.000 Ge4+:2.000 Li1+:4.000 O2-:8.000,Li1,4.0,1,2,1,0.007,"[128.748, 124.277, 118.62, 101.28, 99.48, 85.773]"
