,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
0,1000.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,C1,1.0,2.0,2,4,0.0,[],set()
2,1001.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,C1,1.0,2.0,2,4,0.0,[],set()
4,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,H1,1.0,1.0,1,1,0.0,[],set()
5,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,H2,1.0,1.0,1,1,0.0,[],set()
6,10179.cif,C2+:24.000 Cs1+:8.000 Fe3+:4.000 Li1+:4.000 N3-:24.000,C1,1.0,2.0,2,4,0.0,[],set()
16,1321.cif,Cl7+:2.000 H1+:12.000 Li1+:2.000 O2-:14.000,H1,1.0,1.0,1,1,0.0,[],set()
38,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H1,1.0,1.0,1,1,0.0,[],set()
39,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H3,1.0,1.0,1,1,0.0,[],set()
52,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H2,1.0,1.0,1,1,0.0,[],set()
53,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H3,1.0,1.0,1,1,0.0,[],set()
80,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H3,1.0,1.0,1,1,0.0,[],set()
81,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H4,1.0,1.0,1,1,0.0,[],set()
82,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H5,1.0,1.0,1,1,0.0,[],set()
83,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H6,1.0,1.0,1,1,0.0,[],set()
85,152636.cif,H1+:3.998 Li1+:7.600 N3-:4.000,H1,1.0,1.0,1,1,0.0,[],set()
86,153250.cif,H1+:4.320 Li1+:8.000 N3-:4.000,H1,1.0,1.0,1,1,0.0,[],set()
87,153251.cif,H1+:4.032 Li1+:8.000 N3-:4.000,H1,1.0,1.0,1,1,0.0,[],set()
98,160048.cif,H1+:8.000 Li1+:8.520 Mg2+:3.480 N3-:8.000,H1,1.0,1.0,1,1,0.0,[],set()
99,160049.cif,D1+:5.576 H1+:2.424 Li1+:8.004 Mg2+:3.996 N3-:8.000,D1,1.0,1.0,1,1,0.0,[],set()
100,160049.cif,D1+:5.576 H1+:2.424 Li1+:8.004 Mg2+:3.996 N3-:8.000,H1,1.0,1.0,1,1,0.0,[],set()
101,160608.cif,H1+:24.000 Li1+:4.000 N3-:12.000 Na1+:8.000,H1,1.0,1.0,1,1,0.0,[],set()
102,160608.cif,H1+:24.000 Li1+:4.000 N3-:12.000 Na1+:8.000,H2,1.0,1.0,1,1,0.0,[],set()
103,160608.cif,H1+:24.000 Li1+:4.000 N3-:12.000 Na1+:8.000,H3,1.0,1.0,1,1,0.0,[],set()
104,160609.cif,H1+:16.000 Li1+:6.124 N3-:8.000 Na1+:1.876,H1,1.0,1.0,1,1,0.0,[],set()
105,160609.cif,H1+:16.000 Li1+:6.124 N3-:8.000 Na1+:1.876,H2,1.0,1.0,1,1,0.0,[],set()
106,160610.cif,H1+:16.000 Li1+:6.154 N3-:8.000 Na1+:1.846,H1,1.0,1.0,1,1,0.0,[],set()
107,160610.cif,H1+:16.000 Li1+:6.154 N3-:8.000 Na1+:1.846,H2,1.0,1.0,1,1,0.0,[],set()
108,160611.cif,H1+:16.000 Li1+:6.180 N3-:8.000 Na1+:1.820,H1,1.0,1.0,1,1,0.0,[],set()
109,160611.cif,H1+:16.000 Li1+:6.180 N3-:8.000 Na1+:1.820,H2,1.0,1.0,1,1,0.0,[],set()
110,160612.cif,H1+:16.000 Li1+:6.220 N3-:8.000 Na1+:1.780,H1,1.0,1.0,1,1,0.0,[],set()
111,160612.cif,H1+:16.000 Li1+:6.220 N3-:8.000 Na1+:1.780,H2,1.0,1.0,1,1,0.0,[],set()
112,160613.cif,H1+:16.000 Li1+:6.240 N3-:8.000 Na1+:1.760,H1,1.0,1.0,1,1,0.0,[],set()
113,160613.cif,H1+:16.000 Li1+:6.240 N3-:8.000 Na1+:1.760,H2,1.0,1.0,1,1,0.0,[],set()
114,160614.cif,H1+:16.000 Li1+:6.260 N3-:8.000 Na1+:1.740,H1,1.0,1.0,1,1,0.0,[],set()
115,160614.cif,H1+:16.000 Li1+:6.260 N3-:8.000 Na1+:1.740,H2,1.0,1.0,1,1,0.0,[],set()
116,160615.cif,H1+:16.000 Li1+:6.300 N3-:8.000 Na1+:1.700,H1,1.0,1.0,1,1,0.0,[],set()
117,160615.cif,H1+:16.000 Li1+:6.300 N3-:8.000 Na1+:1.700,H2,1.0,1.0,1,1,0.0,[],set()
118,160616.cif,H1+:16.000 Li1+:6.340 N3-:8.000 Na1+:1.660,H1,1.0,1.0,1,1,0.0,[],set()
119,160616.cif,H1+:16.000 Li1+:6.340 N3-:8.000 Na1+:1.660,H2,1.0,1.0,1,1,0.0,[],set()
120,160617.cif,H1+:16.000 Li1+:6.360 N3-:8.000 Na1+:1.640,H1,1.0,1.0,1,1,0.0,[],set()
121,160617.cif,H1+:16.000 Li1+:6.360 N3-:8.000 Na1+:1.640,H2,1.0,1.0,1,1,0.0,[],set()
