,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
85,10237.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4.0,3,4,0.048,"[116.821, 111.562, 108.379, 107.897, 107.422, 104.318]"
85,100235.cif,Al3+:6.600 Ca2+:2.600 Na1+:1.400 O2-:32.000 Si4+:9.400,Si3,4.0,4.0,3,4,0.022,"[113.697, 112.811, 110.732, 108.482, 107.266, 103.297]"
86,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B1,4.0,3.0,2,3,0.002,"[112.439, 110.977, 108.857, 108.857, 107.866, 107.866]"
86,100235.cif,Al3+:6.600 Ca2+:2.600 Na1+:1.400 O2-:32.000 Si4+:9.400,Si4,4.0,4.0,3,4,0.012,"[113.385, 110.42, 109.652, 108.566, 107.62, 107.032]"
109,1040.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Al1,4.0,3.0,3,3,0.014,"[113.222, 112.799, 110.628, 110.457, 105.325, 103.963]"
109,100237.cif,Al3+:6.640 Ca2+:2.720 Na1+:1.200 O2-:32.000 Si4+:9.360,Si3,4.0,4.0,3,4,0.033,"[114.437, 111.969, 111.42, 108.844, 107.188, 102.304]"
114,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,Li1,4.0,1.0,2,1,0.012,"[115.849, 109.457, 109.451, 107.578, 107.122, 107.122]"
114,100283.cif,Al3+:14.200 Ca2+:5.120 Na1+:2.560 O2-:64.000 Si4+:17.800,Al7,4.0,3.0,3,3,0.024,"[114.318, 111.106, 111.039, 108.361, 105.873, 105.694]"
116,100283.cif,Al3+:14.200 Ca2+:5.120 Na1+:2.560 O2-:64.000 Si4+:17.800,Al4,4.0,3.0,3,3,0.037,"[113.778, 112.936, 112.297, 107.218, 107.104, 102.639]"
117,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Al1,4.0,3.0,3,3,0.028,"[110.212, 110.212, 110.212, 108.723, 108.723, 108.723]"
117,100283.cif,Al3+:14.200 Ca2+:5.120 Na1+:2.560 O2-:64.000 Si4+:17.800,Al2,4.0,3.0,3,3,0.03,"[117.529, 114.393, 113.023, 111.734, 99.602, 99.491]"
118,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Mo1,4.0,6.0,5,6,0.075,"[113.772, 110.371, 110.267, 109.451, 108.966, 103.509]"
119,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Mo2,4.0,6.0,5,6,0.057,"[115.113, 109.147, 109.147, 108.361, 108.361, 106.356]"
