,Cif,Name,Site,CN,OS,Period,Group,Angles
2609,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,Be1,4.0,2,2,2,"[111.549, 110.011, 109.993, 109.737, 108.869, 106.553]"
2610,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,Be2,4.0,2,2,2,"[111.975, 111.944, 110.616, 108.548, 107.17, 106.29]"
2614,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,F4,4.0,-1,2,7,"[132.516, 116.731, 108.174, 106.822, 96.834, 94.071]"
2615,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,F5,4.0,-1,2,7,"[127.799, 119.341, 109.67, 108.445, 95.9, 95.164]"
2618,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,Li1,4.0,1,2,1,"[123.987, 111.119, 108.029, 106.409, 103.179, 102.885]"
2619,72.cif,Be2+:8.000 F1-:28.000 Li1+:8.000 Rb1+:4.000,Li2,4.0,1,2,1,"[123.326, 109.566, 107.776, 106.649, 104.365, 104.194]"
2621,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Al1,4.0,3,3,3,"[114.526, 112.074, 108.017, 107.8, 107.2, 106.894]"
2622,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Ge1,4.0,4,4,4,"[114.4, 111.605, 110.904, 108.609, 106.398, 104.27]"
2623,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li1,4.0,1,2,1,"[114.507, 111.272, 110.371, 107.488, 106.505, 106.272]"
2624,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li2,4.0,1,2,1,"[113.459, 112.867, 110.579, 109.396, 106.147, 103.922]"
2625,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li3,4.0,1,2,1,"[122.249, 110.977, 109.093, 107.554, 102.615, 102.339]"
2626,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O1,4.0,-2,2,6,"[124.035, 110.867, 108.47, 107.927, 107.368, 93.922]"
2627,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O2,4.0,-2,2,6,"[121.058, 113.06, 109.755, 107.728, 102.55, 100.189]"
2628,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O3,4.0,-2,2,6,"[117.065, 115.983, 112.867, 104.785, 103.592, 100.836]"
2629,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O4,4.0,-2,2,6,"[117.982, 113.31, 112.346, 105.319, 104.389, 101.894]"
2630,72098.cif,Al3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O5,4.0,-2,2,6,"[118.483, 112.129, 109.329, 108.681, 106.409, 100.213]"
2631,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Ga1,4.0,3,4,3,"[114.835, 113.241, 110.292, 109.433, 107.146, 100.801]"
2632,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Ge1,4.0,4,4,4,"[111.833, 111.648, 111.34, 110.579, 108.463, 102.721]"
2633,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li1,4.0,1,2,1,"[117.219, 112.843, 110.671, 110.286, 104.123, 100.574]"
2634,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li2,4.0,1,2,1,"[117.872, 112.16, 110.054, 109.938, 103.456, 101.8]"
2635,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,Li3,4.0,1,2,1,"[121.232, 110.867, 108.711, 107.86, 104.028, 102.504]"
2636,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O1,4.0,-2,2,6,"[116.724, 116.059, 111.143, 106.99, 105.308, 98.169]"
2637,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O2,4.0,-2,2,6,"[116.295, 114.368, 110.182, 108.542, 103.497, 102.562]"
2638,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O3,4.0,-2,2,6,"[117.374, 115.773, 108.857, 108.005, 102.973, 102.797]"
2639,72101.cif,Ga3+:4.000 Ge4+:4.000 Li1+:12.000 O2-:20.000,O4,4.0,-2,2,6,"[114.545, 114.261, 112.961, 106.38, 104.839, 102.815]"
2643,72361.cif,Cs1+:8.000 Li1+:4.000 Mn5+:4.000 O2-:16.000,Li1,4.0,1,2,1,"[118.138, 118.138, 111.623, 111.623, 111.278, 82.571]"
2644,72361.cif,Cs1+:8.000 Li1+:4.000 Mn5+:4.000 O2-:16.000,Mn1,4.0,5,4,7,"[111.555, 111.027, 111.027, 110.457, 110.457, 101.947]"
2648,72422.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Be1,4.0,2,2,2,"[111.328, 110.579, 109.962, 109.475, 107.842, 107.548]"
2653,72422.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Li1,4.0,1,2,1,"[116.27, 110.457, 109.834, 109.105, 106.254, 104.922]"
2654,72423.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Be1,4.0,2,2,2,"[111.334, 110.585, 109.956, 109.463, 107.842, 107.56]"
2659,72423.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Li1,4.0,1,2,1,"[116.276, 110.451, 109.846, 109.099, 106.254, 104.916]"
2660,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,Li1,4.0,1,2,1,"[115.487, 115.258, 111.864, 110.941, 104.975, 96.696]"
2661,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,Li2,4.0,1,2,1,"[127.431, 117.717, 111.611, 106.696, 93.17, 89.209]"
2662,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,O1,4.0,-2,2,6,"[116.93, 116.539, 111.291, 107.182, 103.509, 99.219]"
2663,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,O2,4.0,-2,2,6,"[124.967, 122.677, 115.037, 109.311, 85.549, 83.823]"
2664,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,O3,4.0,-2,2,6,"[122.31, 117.775, 115.69, 106.326, 101.835, 87.392]"
2665,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,O4,4.0,-2,2,6,"[120.113, 118.47, 113.716, 108.899, 104.549, 85.411]"
2666,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,Si1,4.0,4,3,4,"[110.5, 110.463, 109.92, 108.972, 108.633, 108.325]"
2667,8237.cif,Li1+:8.000 O2-:16.000 Si4+:4.000 Zn2+:4.000,Zn1,4.0,2,4,2,"[116.654, 113.409, 111.617, 110.212, 107.626, 95.958]"
2668,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Co1,4.0,2,4,8,"[114.57, 110.898, 109.05, 107.728, 107.422, 106.948]"
2669,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Li1,4.0,1,2,1,"[115.182, 113.123, 110.548, 107.182, 106.87, 103.332]"
2670,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Li2,4.0,1,2,1,"[119.782, 109.226, 108.96, 108.669, 105.248, 104.566]"
2671,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O1,4.0,-2,2,6,"[120.737, 114.974, 113.653, 105.207, 103.185, 96.281]"
2672,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O2,4.0,-2,2,6,"[116.699, 114.721, 114.042, 104.951, 102.421, 102.374]"
2673,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O3,4.0,-2,2,6,"[116.034, 115.76, 115.582, 106.392, 102.275, 98.639]"
2674,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O4,4.0,-2,2,6,"[115.506, 114.759, 114.117, 105.902, 104.081, 100.906]"
2675,8238.cif,Co2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Si1,4.0,4,3,4,"[110.377, 110.328, 110.237, 109.263, 108.373, 108.258]"
2677,8255.cif,H1+:4.000 Li1+:4.000 O2-:12.000 Se4+:4.000,Li1,4.0,1,2,1,"[113.778, 113.666, 110.243, 108.476, 105.867, 104.129]"
2682,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,Ge1,4.0,4,4,4,"[110.842, 110.842, 110.671, 109.105, 109.105, 106.147]"
2683,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,Li1,4.0,1,2,1,"[115.398, 115.151, 113.204, 108.82, 106.057, 95.906]"
2684,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,Li2,4.0,1,2,1,"[119.67, 115.722, 115.722, 109.871, 95.204, 95.204]"
2685,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,Mg1,4.0,2,3,2,"[115.398, 115.151, 113.21, 108.82, 106.057, 95.906]"
2686,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,Mg2,4.0,2,3,2,"[119.67, 115.722, 115.722, 109.871, 95.204, 95.204]"
2687,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,O1,4.0,-2,2,6,"[111.913, 111.913, 111.642, 111.642, 111.642, 111.642, 108.784, 108.784, 108.784, 108.784, 106.278, 106.278, 106.278, 106.278, 106.278, 106.278, 106.278, 106.278, 0.0, 0.0, 0.0]"
2688,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,O2,4.0,-2,2,6,"[123.203, 123.203, 123.203, 123.203, 112.712, 112.712, 111.518, 111.518, 111.518, 111.518, 84.716, 84.716, 84.716, 84.716, 84.716, 84.716, 84.716, 84.716, 0.0, 0.0, 0.0]"
2689,8280.cif,Ge4+:4.000 Li1+:8.040 Mg2+:3.960 O2-:16.000,O3,4.0,-2,2,6,"[118.451, 118.451, 116.744, 116.744, 113.735, 113.735, 113.735, 113.735, 113.641, 113.641, 104.791, 104.791, 104.791, 104.791, 83.892, 83.892, 83.892, 83.892, 0.0, 0.0, 0.0]"
2690,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Ga1,4.0,3,4,3,"[120.81, 117.937, 105.652, 104.679, 103.256, 102.316]"
2691,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Li1,4.0,1,2,1,"[139.996, 124.597, 110.493, 94.025, 93.537, 82.912]"
2692,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Li2,4.0,1,2,1,"[130.481, 123.546, 104.833, 98.025, 97.4, 83.35]"
2693,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Li3,4.0,1,2,1,"[124.967, 120.67, 112.08, 101.356, 99.375, 85.181]"
2694,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Li4,4.0,1,2,1,"[130.383, 124.264, 106.236, 98.969, 97.077, 88.573]"
2695,9082.cif,Ga3+:8.000 Li1+:40.000 O2-:32.000,Li5,4.0,1,2,1,"[122.806, 116.936, 107.092, 104.649, 101.982, 101.046]"
2700,9430.cif,Be2+:4.000 F1-:14.000 Li1+:2.000 Na1+:4.000,Be1,4.0,2,2,2,"[114.771, 114.771, 109.293, 108.319, 104.336, 104.336]"
2701,9430.cif,Be2+:4.000 F1-:14.000 Li1+:2.000 Na1+:4.000,F1,4.0,-1,2,7,"[142.317, 102.527, 102.527, 102.527, 102.527, 95.636]"
2702,9430.cif,Be2+:4.000 F1-:14.000 Li1+:2.000 Na1+:4.000,F2,4.0,-1,2,7,"[122.093, 116.724, 116.724, 104.596, 104.596, 85.641]"
2703,9430.cif,Be2+:4.000 F1-:14.000 Li1+:2.000 Na1+:4.000,F3,4.0,-1,2,7,"[123.018, 122.684, 112.024, 105.082, 94.75, 94.537]"
2704,9430.cif,Be2+:4.000 F1-:14.000 Li1+:2.000 Na1+:4.000,Li1,4.0,1,2,1,"[116.475, 116.475, 106.087, 106.087, 106.087, 106.087]"
2706,9433.cif,Be2+:4.000 F1-:16.000 H1+:16.000 Li1+:4.000 N3-:4.000,Be1,4.0,2,2,2,"[129.294, 111.512, 109.093, 107.788, 100.766, 96.373]"
2708,9433.cif,Be2+:4.000 F1-:16.000 H1+:16.000 Li1+:4.000 N3-:4.000,F2,4.0,-1,2,7,"[123.704, 123.704, 123.045, 105.385, 80.02, 51.83]"
2715,9433.cif,Be2+:4.000 F1-:16.000 H1+:16.000 Li1+:4.000 N3-:4.000,Li1,4.0,1,2,1,"[120.179, 111.451, 108.609, 107.56, 104.111, 103.368]"
2716,9433.cif,Be2+:4.000 F1-:16.000 H1+:16.000 Li1+:4.000 N3-:4.000,N1,4.0,-3,2,5,"[145.945, 115.658, 106.487, 100.469, 98.546, 90.264]"
2717,9434.cif,Be2+:4.000 Cs1+:4.000 F1-:16.000 Li1+:4.000,Be1,4.0,2,2,2,"[110.744, 109.694, 109.433, 109.166, 109.044, 108.742]"
2722,9434.cif,Be2+:4.000 Cs1+:4.000 F1-:16.000 Li1+:4.000,F4,4.0,-1,2,7,"[152.848, 112.482, 103.25, 94.014, 89.244, 87.839]"
2723,9434.cif,Be2+:4.000 Cs1+:4.000 F1-:16.000 Li1+:4.000,Li1,4.0,1,2,1,"[112.979, 111.051, 109.956, 108.252, 108.023, 106.529]"
2725,9923.cif,Al3+:16.000 F1-:96.000 Li1+:24.000 Na1+:24.000,F1,4.0,-1,2,7,"[136.104, 114.526, 108.421, 100.929, 98.54, 91.639]"
2728,9987.cif,B3+:4.000 Ga3+:2.000 Li1+:6.000 O2-:12.000,Ga1,4.0,3,4,3,"[116.878, 115.043, 109.445, 108.343, 103.698, 102.539]"
2729,9987.cif,B3+:4.000 Ga3+:2.000 Li1+:6.000 O2-:12.000,Li1,4.0,1,2,1,"[115.652, 113.797, 109.658, 109.251, 105.397, 102.07]"
2730,9987.cif,B3+:4.000 Ga3+:2.000 Li1+:6.000 O2-:12.000,Li2,4.0,1,2,1,"[113.16, 112.154, 110.377, 108.488, 107.26, 105.355]"
2735,9987.cif,B3+:4.000 Ga3+:2.000 Li1+:6.000 O2-:12.000,O4,4.0,-2,2,6,"[158.341, 125.959, 118.294, 80.369, 73.668, 70.336]"
